region-centroid-col;region-centroid-row;region-pixel-count;short-line-density-5;short-line-density-2;vedge-mean;vegde-sd;hedge-mean;hedge-sd;intensity-mean;rawred-mean;rawblue-mean;rawgreen-mean;exred-mean;exblue-mean;exgreen-mean;value-mean;saturation-mean;hue-mean;binaryClass
2;?;?;?;?;1.88889;2.16296;3.16667;3.27778;6.40741;?;?;7;?;-1.22222;1.77778;7.22222;0.191049;1.75665;0
124;29;9;0;?;?;?;?;?;?;?;142.889;?;-27.6667;43.3333;?;142.889;?;-2.27113;0
?;?;9;0;?;?;2.90593;2.27778;?;?;9.22222;?;?;-24;35.3333;?;29;0.680787;-2.32123;0
?;?;?;0;?;0.222222;?;?;3.80448;2.2963;2.44444;2.55556;1.88889;0.444444;?;?;?;0.096561;?;0
191;107;9;?;0;2.05556;1.52631;10.3333;3.01109;29.2222;26.8889;35.8889;?;?;20;-13;?;?;-1.87716;0
174;181;?;0;0;?;?;4.16667;?;?;52.3333;?;?;?;45.4444;-25.2222;?;0.317345;-2.02086;0
104;?;9;0;0;?;?;?;0.151852;3.7037;2.11111;7.11111;1.88889;-4.77778;?;-5.44444;?;0.731922;-2.05845;0
?;?;9;0;?;?;1.63865;2.05556;?;?;?;?;27.3333;?;-5;?;27.3333;0.445808;2.42079;0
183;66;?;?;?;?;?;?;1.89346;?;?;45.8889;38.8889;-1.66667;11.3333;?;45.8889;0.152009;-1.68385;0
?;?;?;?;?;0.444444;0.501848;0.833333;0.809664;1.14815;?;?;0.555556;?;4.55556;-1.77778;?;?;-2.20059;0
244;194;9;?;?;?;1.14342;?;?;49.7407;?;61.6667;?;-15.8889;35.7778;?;?;?;?;0
29;?;9;0;0;?;0.018518;?;?;?;?;140.222;121.556;?;43.3333;?;140.222;?;?;0
?;96;?;0;0;?;13.2778;2.33333;7.51111;5.22222;?;9.77778;3.77778;?;13.6667;-4.33333;9.77778;0.824784;-2.33069;0
?;186;9;?;0.111111;2.72222;?;6.05556;?;50.0741;?;?;?;?;30.4444;?;?;0.266195;?;0
81;?;9;?;?;0.444445;0.074074;0.888889;0.651853;?;42.8889;?;40.6667;-8.77778;?;-15.4444;?;?;-1.91889;0
?;179;?;0.111111;?;?;1.53116;?;?;49.1852;44.8889;59.7778;?;?;31.7778;?;59.7778;?;?;0
199;144;?;?;0;?;0.516398;?;0.365148;0.444444;?;?;?;?;?;?;?;0.740741;?;0
225;181;9;?;0;1.16667;0.862812;?;?;55.3333;49;?;?;-19;?;-21.3333;68.7778;?;?;0
?;85;?;?;?;?;?;?;9.1889;?;45;59.5556;?;-12.4444;31.2222;?;59.5556;0.278726;-1.95422;0
?;?;?;0.111111;?;?;0.596296;1.61111;?;23.037;?;29.8889;?;-3.11111;20.5556;-17.4444;29.8889;0.423346;?;1
97;?;?;0;0;1.05556;0.374074;1;?;6.48148;?;8;?;?;?;-8.11111;8.33333;0.551587;?;1
84;86;9;0;0;?;0.691214;?;?;105.778;92.8889;?;?;?;55;-16.3333;124.111;0.251552;-2.34379;0
115;39;9;0;?;0.722223;?;?;?;127.074;?;142.444;?;?;?;?;142.444;0.183242;?;0
?;?;?;0;?;?;1.63333;?;0.874074;?;?;27.5556;16.3333;?;?;-16.1111;27.5556;0.407364;?;1
237;137;9;?;0;0.388889;0.107407;0.333333;0.044445;0.666667;0;2;0;?;4;-2;?;1;-2.0944;0
188;88;9;?;0;?;0.471405;0.333333;0.298142;7.33333;5.11111;?;?;-6.66667;?;?;?;?;-2.03577;0
?;?;?;0;?;?;0.490654;?;?;?;36.8889;48.6667;?;-10.6667;24.6667;-14;?;0.264564;?;0
?;?;9;0;0;0.944447;1.02017;?;1.06284;?;56.4444;81.6667;?;?;?;?;?;?;-2.13303;0
141;17;9;?;?;3.72222;?;5;2.319;?;40.3333;54;39.4444;-12.7778;28.2222;-15.4444;54;?;?;0
?;?;?;?;?;?;0.596296;1.33333;1.82222;?;18.7778;?;13.4444;2;?;?;22.1111;?;?;1
?;237;?;?;?;1.66667;2.44444;1.77778;?;?;4.22222;?;8.77778;-4.88889;-3.88889;8.77778;?;0.541266;2.18053;0
?;123;9;0;?;0.722222;0.862963;?;0.418518;?;?;?;0.444444;-2.88889;4.77778;?;2.66667;0.981482;?;0
?;?;9;?;?;0;0;?;?;?;?;?;0;?;0;0;?;?;?;0
37;?;9;0;0;1;?;?;2.87407;?;41.1111;?;?;?;24.2222;-16.1111;51.8889;?;?;0
?;135;?;?;0;2.27778;1.26296;0.555555;0.385185;2.18519;?;?;0.888889;?;?;-3.88889;4.88889;?;?;0
?;?;9;?;?;0.777778;0.340741;0.777778;0.474074;?;0.111111;6.44444;0.333333;-6.55556;?;-5.88889;6.44444;0.986111;-2.1239;0
?;67;?;0;?;?;?;1.55556;1.18519;?;?;?;17.5556;?;?;-18.5556;?;0.429897;-1.67017;1
193;35;9;0;0;?;?;0.722221;0.285183;?;?;146.222;?;-15.7778;29.2222;?;?;?;?;0
?;187;9;0;0;1.77778;?;?;2.0221;54.7778;49;68;?;-17.3333;?;?;?;0.304126;?;0
138;21;9;0;?;?;0.760117;?;?;?;?;143.111;?;-33.2222;?;?;?;?;-2.33938;0
212;68;9;?;?;2.88889;?;?;?;37.963;?;?;?;-1.22222;11.1111;-9.88889;?;0.167908;?;0
127;?;9;?;?;?;?;?;9.4963;?;21.5556;?;17.6667;-3.55556;18.7778;-15.2222;?;0.390398;?;1
67;?;9;?;0;?;0.385186;2.27778;4.28518;21.1111;20.2222;?;15.7778;-2.66667;18.6667;-16;27.3333;?;-1.62075;1
?;104;9;?;?;?;0.547722;?;2.04124;19.7778;16.3333;?;16.8889;-10.3333;?;-8.66667;?;0.375532;-2.15064;0
20;?;9;?;?;?;?;0;0;?;?;?;0;0;0;0;0;0;0;0
?;138;?;?;0;0.222222;0.172133;?;0.272166;1.22222;0.444444;?;?;?;?;-3.66667;3.22222;1;?;0
17;18;9;0;?;?;1.29386;1.27778;?;?;?;142;?;-34.8889;49.1111;?;142;?;?;0
25;?;9;0;0;?;4.84156;6.33333;?;55.6296;?;?;?;-22.2222;?;-21.8889;70.3333;0.320595;?;0
21;?;?;?;0;2.38889;2.68519;2.27778;?;?;11.3333;?;17;?;?;?;17;0.327918;2.28315;0
33;?;9;0.111111;0;1.05556;0.998147;1.72222;0.998146;?;0.666667;?;1;?;6.77778;?;4.22222;?;-2.15243;0
?;161;9;0;?;2.55556;?;?;96.6555;?;?;?;?;-18.1111;?;-10.7778;?;?;-2.33897;0
?;?;?;?;?;1.66667;5.91111;3;3.28889;?;2.22222;?;3.88889;-8.88889;12.7778;-3.88889;?;?;-2.32646;0
?;92;9;0.111111;?;1.88889;?;2.27778;3.52963;7.44444;3.22222;?;?;-12.6667;15.6667;?;12.6667;?;?;0
225;244;9;?;0;3.38889;?;?;?;?;?;9.33333;?;-5.77778;-8.77778;?;17.1111;0.480149;?;0
142;?;?;0;0;1.94444;?;?;1.32222;18.5556;?;?;25.3333;?;-11;20.3333;25.3333;?;?;0
39;?;9;0;?;1.11111;?;2.38889;?;?;?;66.7778;?;?;36.4444;-19.8889;66.7778;?;?;0
?;?;?;0;0;1.44444;1.4963;?;?;?;?;?;?;-9.22222;?;?;36.4444;0.275863;-2.08357;0
248;103;?;?;0;?;?;1.11111;0.93492;35.6296;30.7778;?;?;?;?;?;?;0.323915;-2.10261;0
?;?;?;?;0;?;5.72222;1.66667;?;6.66667;4.88889;4.66667;10.4444;-5.33333;?;11.3333;10.4444;?;?;0
?;160;9;?;0;?;4.04445;2.77778;0.429629;22.8519;?;?;?;?;?;?;?;0.426014;?;0
?;?;9;?;0;3.11111;?;?;?;41.4815;35.6667;?;?;-17.4444;27.2222;?;50.5556;?;?;0
59;?;9;0;0;?;?;?;0.240741;?;103.444;128.111;?;?;49.5556;-25.1111;?;?;-2.08595;0
29;?;9;?;?;2.83333;?;2.38889;?;?;?;6.77778;?;?;?;-2.22222;6.77778;0.762963;?;0
90;116;9;0;?;?;?;1.33333;?;?;11.7778;29.5556;?;-20.8889;?;-11.5556;29.5556;0.596104;-2.25997;0
?;?;9;?;?;?;0.712325;0.666667;0.730297;1.51852;?;?;1.33333;?;4.11111;?;2.88889;0.916667;?;0
?;?;?;?;0;?;?;?;0.68853;28.3333;?;34.8889;?;?;19.6667;-7.66667;?;0.302071;-2.23625;0
252;?;?;?;0;?;?;?;?;38.8889;34.5556;?;?;-13;28.6667;?;?;0.303876;-2.02804;0
?;?;?;?;?;?;0;0;0;?;0;?;0;0;0;0;0;0;0;0
31;62;?;?;?;?;0.833334;1.83333;0.966668;?;20.5556;27.2222;15.7778;?;?;-16.2222;27.2222;?;?;1
?;144;?;0;0;0.388889;0.151852;0.222222;0.074074;0.962963;0;2.88889;0;?;?;-2.88889;2.88889;1;-2.0944;0
?;?;9;?;0;1.77778;?;?;1.77778;22.4815;?;29.7778;?;-5.11111;?;-16.7778;29.7778;?;-1.77166;1
229;104;9;0;0;0.5;?;?;2.04124;?;16.3333;?;16.8889;-10.3333;?;-8.66667;?;0.375532;?;0
79;?;9;0.111111;0;?;0.355557;?;1.15556;?;116;141.667;?;?;?;?;141.667;?;?;0
?;86;?;?;?;9.5;?;?;105.541;13.4074;?;19.8889;11.5556;?;19.4444;?;?;0.630945;?;0
?;116;?;0;?;?;?;?;?;33.1852;?;41.6667;?;-12.2222;?;?;41.6667;0.309461;?;0
252;195;?;?;0;?;2.09143;?;?;47.6667;?;?;?;-15.6667;?;?;?;0.288788;-2.05167;0
?;?;9;?;0;0.5;?;?;2.37407;?;?;6.33333;2;0.333333;6.33333;-6.66667;?;?;?;1
161;147;?;?;?;0;0;?;0;0;0;0;0;0;0;0;0;?;?;0
229;?;9;?;?;?;?;1.22222;?;?;?;?;?;-20.5556;36.1111;-15.5556;?;?;?;0
240;26;9;?;?;1.22222;?;?;?;?;?;146.556;?;-17.6667;29;?;?;?;-2.23072;0
?;119;9;?;?;0.333333;0.088889;?;0.207407;1.44444;0;?;0.111111;-4.33333;?;?;4.22222;1;?;0
?;?;?;?;?;0.722222;0.196296;?;0.207407;?;?;8.44444;?;?;5.44444;-8.22222;?;?;?;1
?;215;?;?;?;3.22222;?;?;?;23.8148;18.1111;?;30.6667;-17.1111;-3.44444;20.5556;30.6667;0.409837;2.47176;0
?;?;9;?;?;0.388889;0.062963;0.666667;0.177778;?;7.22222;?;3.44444;?;3.11111;?;7.33333;0.529762;?;1
24;58;?;0;?;0.888889;0.162963;1.38889;2.28519;?;20;27.3333;15.4444;?;19.2222;-16.4444;?;0.434743;?;1
?;?;?;?;0;?;6.97778;2.5;?;?;?;41.1111;28.4444;?;?;-13.5556;41.1111;?;-2.02004;0
?;?;?;0;0;?;?;1.5;0.691214;14.5556;?;?;?;?;-8.33333;?;?;0.411573;?;0
212;?;9;?;?;?;1.29386;?;?;23.2593;?;?;28.5556;?;0.555556;?;28.5556;0.378216;2.6426;0
?;133;?;?;0;1.55556;1.00741;0.5;?;?;3.66667;9;3.44444;?;10.8889;-5.77778;9;0.630471;-2.048;0
159;116;?;?;?;?;0.344265;?;1.10387;29.8148;?;?;26.6667;?;?;-9.44444;37.1111;?;?;0
44;79;9;0;0;0.444444;?;0.777779;?;?;?;126.556;?;?;56.4444;?;?;?;-2.37797;0
97;?;?;0;?;?;?;?;0.869227;?;?;142.889;?;-35.4444;48.2222;?;?;0.195127;?;0
129;?;?;?;?;27.2778;?;25.2778;377.93;44.2963;?;52.6667;?;-17.5556;25.1111;?;?;0.348885;-2.32027;0
31;?;?;?;?;?;0.685184;?;0.774073;?;117;141.778;122.333;-30.1111;44.2222;-14.1111;141.778;?;-2.31442;0
133;67;?;?;0;1.38889;?;2.11111;1.22963;27.1481;25.1111;?;?;-6.11111;?;-20.1111;?;?;-1.76836;1
84;?;?;0;0;0.444444;0.118518;0.722222;0.151852;2.11111;1;4.66667;0.666667;-3.33333;?;-4.33333;4.66667;?;?;0
191;47;9;0;0;0.444445;?;?;0.38519;?;?;146.333;?;-20.2222;31.7778;?;?;?;-2.26255;0
?;?;9;?;?;0.944445;0.827759;0.833333;?;1.77778;?;?;1;-4;?;?;?;?;-2.23756;0
148;?;9;?;0;?;2.18072;?;?;58.1111;51.7778;?;?;-19;41.6667;?;?;0.299308;?;0
?;?;?;?;0;0.5;0.349603;1;?;?;?;?;12.3333;?;?;?;23.7778;0.489897;?;0
?;?;9;?;?;2.83333;1.29529;?;?;?;16.6667;20.3333;26.8889;-13.8889;-2.88889;?;26.8889;?;?;0
239;32;9;0;0;0.777779;0.207408;?;?;121.444;?;138.111;?;-33.6667;?;?;?;?;?;0
?;?;9;?;?;?;?;?;0.742867;0.407407;0.222222;?;0.222222;-0.555556;?;?;0.777778;0.240741;?;0
25;?;9;0;0;0.666665;?;0.555553;0.385184;?;?;132.333;?;-35.1111;54.5556;?;?;0.225725;-2.27845;0
142;?;?;0;0;?;0.266666;1.38889;0.907407;22.2222;?;28.4444;16.4444;-1.33333;18.6667;?;28.4444;?;?;1
?;?;?;?;?;?;0.45542;?;?;?;24.5556;35.8889;?;-12.5556;21.4444;?;?;?;?;0
?;194;9;0;0;?;?;?;?;41.037;37;49.7778;?;-12.1111;26.2222;?;?;0.275415;-2.0452;0
238;25;9;0;0;0.388887;?;?;0.827759;116.259;?;133.778;?;-37.7778;?;?;?;?;?;0
116;203;?;?;0;?;1.94841;?;1.75647;19.5185;?;?;25.4444;-12.2222;-5.55556;17.7778;25.4444;0.393868;?;0
?;?;?;?;0;?;0.062963;0.388889;0.062963;5.2963;6.77778;?;?;?;2.77778;?;?;0.587302;?;1
69;?;?;?;?;?;0.951851;2.05556;1.48519;?;22.6667;?;18;?;?;?;30.8889;0.415301;?;1
67;?;9;0;0;2.11111;2.11852;?;3.44074;22.4815;?;28.8889;?;?;19.2222;?;?;?;?;1
?;189;9;0;0;?;0.666667;?;?;12.9259;10.8889;?;18.6667;?;?;17.2222;?;0.508139;1.91086;0
140;188;9;0;?;?;?;3.05555;?;?;?;?;54;?;44.6667;?;?;?;?;0
208;65;9;?;?;1.38889;1.23678;26.4444;25.5375;56.7037;?;64.4444;53;-12.1111;?;?;?;?;-1.97081;0
42;?;9;?;0;1.16667;1.90613;2.72222;?;2.7037;1.22222;5;?;-4.44444;6.88889;-2.44444;5;0.860606;?;0
?;120;?;?;?;0.5;0.477778;?;?;1.51852;0.111111;4.11111;?;-4.22222;?;?;4.11111;0.984127;?;0
?;71;9;?;?;?;?;2.83333;2.07778;?;21.8889;?;?;?;20.6667;-18;29.6667;0.43357;-1.66796;1
?;208;?;?;?;2.5;2.16667;2.66667;2.44445;16.0741;12.6667;?;?;?;?;?;?;0.40213;2.31093;0
67;71;9;0;?;1.66667;0.888891;?;?;?;115.556;140.889;?;?;44.7778;-13.5556;?;?;-2.33976;0
63;220;?;?;0;?;15.263;3.66667;?;8.18519;?;?;11.5556;?;?;?;?;0.486717;?;0
?;103;?;0;?;0.666667;0.577778;1.11111;0.962963;2.14815;?;5.66667;0.666667;?;?;-4.44444;5.66667;?;?;0
228;91;9;?;?;?;?;1.11111;0.385185;2.62963;?;6.22222;1.22222;-6.55556;?;-4.22222;6.22222;?;?;0
233;211;9;?;0;?;?;?;?;15.4444;?;?;18.6667;-9;?;?;?;0.335421;?;0
29;?;?;0;?;2.22222;?;?;?;?;20.8889;?;15.4444;?;14.7778;-15.5556;25.5556;?;-1.5197;1
?;102;9;0;0;?;?;?;?;?;53.4444;?;51.5556;-14.3333;?;?;?;0.25976;?;0
?;?;?;?;0;?;2.50741;?;7.27407;?;?;44.1111;31;-12.4444;25.8889;?;44.1111;0.301166;?;0
57;?;?;?;0;0.388889;?;?;0.172132;?;13.2222;?;13.4444;-14.1111;27.5556;?;27.1111;?;-2.11046;0
96;?;9;?;?;1.27778;0.151852;1.83333;?;21.6296;14.7778;?;15.8889;?;37.7778;-17.2222;?;0.559546;?;0
?;?;9;?;?;7.38889;64.9519;4.83333;42.2556;?;?;11.3333;5.22222;?;14.1111;?;11.3333;0.809331;-2.34902;0
?;50;9;0;0;?;1.06284;1.33333;?;?;53;75.7778;53.7778;-23.5556;?;-21.2222;75.7778;?;-2.12948;0
?;?;9;0.111111;0;?;?;?;?;48.4444;43.7778;?;41.6667;-14;?;?;?;0.304522;-1.97306;0
208;34;9;0;?;1.72222;?;0.444445;0.501848;?;?;?;11.5556;-11;19.6667;?;?;0.479958;-2.16238;0
49;?;?;?;0;0.777778;0.251851;6.66667;?;?;?;?;19;?;?;9.11111;19.4444;0.403708;2.91248;0
172;?;?;?;0;?;?;?;?;?;?;70;?;-17.6667;41;?;?;?;-1.99758;0
149;92;9;?;?;1.22222;0.562964;2.33333;3.82222;?;?;?;17.5556;?;?;?;?;?;?;1
92;?;?;?;0;2;1.26491;1.22222;0.958392;?;51;?;?;-23.7778;46.5556;-22.7778;74.4444;0.317871;-2.10876;0
?;66;?;0;?;2;2.08889;?;0.418519;51.5926;?;?;45.7778;?;?;?;61.2222;?;?;0
?;?;9;?;0;0.555555;0.45542;?;0.655461;2.40741;?;5;?;-5.88889;?;-1.88889;5;0.931217;-2.36622;0
?;?;9;0;?;2.16667;?;?;0.418518;8.44444;7;?;6.11111;?;11.3333;?;12.2222;0.503086;-1.94345;0
?;?;?;0.111111;?;1.72222;1.44074;3.88889;2.82963;?;20.5556;24.1111;15.1111;?;?;-14.4444;24.1111;?;-1.44096;1
108;?;9;?;?;?;?;?;0.666667;?;?;?;4.22222;?;1.77778;?;8.44444;0.501014;-0.764077;1
?;?;9;?;0;?;1.18519;?;?;30.3704;?;?;27.3333;?;17.8889;?;?;0.23849;-2.21709;0
189;39;9;0;?;?;?;?;?;?;113.889;140.333;118.333;-30.8889;48.4444;?;?;?;-2.26811;0
207;58;9;0;0;?;?;?;0.583728;?;97.6667;128.111;?;-38.1111;?;?;?;?;-2.35727;0
?;123;9;?;?;0.666667;?;0.388889;0.151852;?;7.11111;6.88889;3.44444;?;?;-7.11111;7.33333;?;?;1
147;193;9;0;0;?;?;7.05556;?;51.7407;?;63;?;-15.5556;?;?;63;?;-2.08017;0
?;186;9;0;?;0.888889;0.340741;1.5;?;12.0741;9.33333;10.7778;16.1111;-8.22222;-3.88889;12.1111;16.1111;0.428864;2.31952;0
?;71;9;?;?;13.0556;10.3825;?;16.5364;31.8519;25.5556;?;29.7778;?;?;-6.22222;40.2222;0.395671;?;0
106;65;?;0.222222;0;2.22222;?;2.27778;?;60.6296;?;74.5556;53.6667;-20.8889;?;?;?;?;?;0
?;83;9;0;?;?;?;1.05555;?;90.6296;?;116.889;?;?;78.7778;?;?;?;?;0
65;?;9;0;0;?;0.177776;1.11111;0.562963;?;?;127.778;?;-25.5556;?;?;127.778;0.186099;-2.17166;0
133;141;?;?;?;0.111111;?;?;?;0.074074;0;?;0;?;?;-0.222222;0.222222;0.222222;-2.0944;0
127;?;?;?;?;24.3333;?;22.1111;263.096;?;?;51.7778;?;-23;27.6667;?;?;0.366946;-2.47648;0
161;176;?;?;?;?;?;?;0.388889;?;10.1111;?;?;-8.66667;-3.66667;?;17.1111;0.407734;2.34062;0
66;160;9;?;0;?;4.04445;2.77778;0.429629;22.8519;?;?;18.7778;?;26.1111;?;31.5556;?;?;0
32;?;9;0;0;?;?;2.27778;?;?;?;9.33333;17.3333;-7.11111;-8.44444;15.5556;17.3333;?;2.04387;0
?;?;9;0.111111;0;2.27778;?;?;1.18165;20.5185;20.3333;22.3333;18.8889;?;?;?;22.3333;0.15128;-1.59668;0
212;239;?;0;?;1.94444;?;?;?;10.3704;?;?;13.7778;-8.11111;-2.11111;10.2222;?;0.445969;?;0
?;?;?;?;?;0.555556;0.45542;0.944444;?;?;?;?;30.8889;?;-0.333333;16.3333;?;?;2.60401;0
?;?;?;?;0;?;0.062963;?;?;?;6.55556;?;3.11111;?;?;-6.44444;6.66667;?;?;1
?;140;?;?;?;5.44444;4.76873;3.05556;?;?;6;?;8.66667;?;?;?;15.1111;?;?;0
?;?;9;?;0;?;4.0332;4.11111;3.78104;?;17.8889;25.1111;16.6667;?;15.6667;?;?;?;-1.54021;0
?;44;?;?;?;?;?;2.38889;1.52963;18.7407;?;25.2222;?;?;?;-15.2222;?;0.457681;?;1
?;41;?;0;0;?;?;?;?;?;?;138.889;?;-33.7778;?;?;?;0.206392;-2.2808;0
?;?;9;0;0;1.61111;?;12.3889;66.8185;?;?;?;?;-19.8889;31.7778;-11.8889;?;?;?;0
?;?;?;?;?;?;?;?;?;21.037;?;?;17.3333;-12.7778;23.8889;?;29;0.41916;-2.1427;0
40;?;9;?;?;0.722223;?;1.05555;0.646928;69.4444;61.7778;?;?;-23;47.6667;-24.6667;85.3333;?;-2.0742;0
?;?;?;0;0;?;?;2.22222;?;47.2593;41.7778;58.5556;?;?;33.8889;?;58.5556;0.294238;?;0
?;89;?;0;?;4.66667;5.11642;0.166667;?;3.11111;?;?;2.66667;-0.666667;?;?;3.77778;0.097643;-1.89048;0
239;?;9;0;0;?;0.922221;?;?;45.1481;37.8889;?;?;-21.7778;39.5556;-17.7778;?;?;?;0
?;?;9;?;?;2.94444;?;2.44444;?;16.4815;?;?;?;?;28.2222;?;25.8889;?;-2.3163;0
?;?;9;0;?;?;?;?;0.474074;21.3704;?;31.8889;16.4444;?;31.5556;-14.7778;31.8889;?;?;0
?;73;?;0.111111;?;1.38889;?;1.61111;2.50741;?;19.7778;?;15.3333;?;?;-15.8889;?;?;?;1
?;91;?;0;?;1.22222;?;?;?;24.0741;17.7778;?;?;?;?;?;?;0.48999;?;0
27;?;?;0;0;1.11111;0.981307;?;?;?;3.66667;15.8889;6.55556;?;21.5556;?;15.8889;0.772831;?;0
?;152;9;?;0;0.111111;0.02963;2.05556;3.57407;?;1;2.33333;0.777778;?;2.88889;?;?;?;?;0
?;?;?;?;0;?;?;?;0.522222;?;7.55556;7.22222;?;?;?;-7.66667;7.55556;0.532628;?;1
?;89;9;?;?;0.5;?;?;?;1.81481;0.777778;4.11111;0.555556;-3.11111;6.88889;?;?;0.896296;?;0
?;118;?;?;?;0.277778;0.062963;0.555556;?;?;?;?;3.22222;?;?;-6.77778;?;?;-1.05335;1
71;113;?;0;?;?;0.240741;0.722222;?;5.48148;?;?;3;?;?;-7.44444;7.11111;0.580026;-0.851202;1
25;?;?;?;0;?;0.151852;4.77778;3.0963;16.1852;17;?;11.5556;2.44444;?;-13.8889;21.2222;0.447187;-1.16284;1
60;52;9;0;0;?;?;?;0.740744;?;101;129.222;?;-31.8889;52.7778;-20.8889;129.222;?;-2.22968;0
?;149;9;0;?;?;0.251852;0.722222;0.151852;?;?;8.66667;3.55556;-4;9.66667;?;8.66667;0.578339;?;1
100;?;9;?;0;?;?;?;?;61.5556;54.7778;?;53.6667;-20.3333;44;-23.6667;76.2222;0.295908;-2.04272;0
169;136;9;0;?;?;?;0.833333;0.211111;2.07407;?;?;0.666667;?;8.44444;?;4.88889;0.877513;?;0
?;?;?;0;?;1.11111;?;0.222222;0.344265;?;0.777778;1.11111;?;?;1.11111;-1.22222;1.11111;?;?;0
?;?;?;?;?;1.77778;1.85185;1.16667;1.32222;?;?;10.5556;3.88889;?;?;?;10.5556;0.842452;?;0
99;107;?;0.111111;?;?;2.02963;?;?;?;19.4444;23;13.4444;?;?;?;23.1111;0.413785;?;1
203;133;9;?;?;?;?;0.111111;?;0.592593;?;?;0;?;3.55556;?;?;?;?;0
?;133;9;?;?;0.055556;?;?;0.136083;?;?;?;0;?;?;-1.11111;?;1;?;0
?;87;?;?;?;0.722222;0.240741;0.611111;0.374074;11.1481;6.66667;?;?;?;?;?;?;0.659329;?;0
39;?;9;?;?;1.11111;?;?;0.807374;?;?;87.3333;?;-23.5556;48.4444;-24.8889;?;0.284874;-2.07516;0
?;?;?;0;0;1.44444;0.344265;?;1.0274;?;?;?;19.6667;?;?;13.3333;19.6667;?;?;0
71;?;9;?;0;?;?;?;?;?;49.1111;?;47.6667;?;?;?;69.5556;0.314739;-2.02432;0
?;?;9;0;0;1.94444;?;3.11111;1.08866;?;?;?;?;-13.3333;31.3333;-18;?;0.278822;-1.99604;0
?;?;?;?;?;2.38889;?;14.9444;?;?;?;?;?;-18;27;?;?;?;-2.57363;0
118;38;?;0;?;?;?;?;?;?;113.333;141.667;?;-34.5556;?;?;?;?;-2.32292;0
?;?;?;0;0.222222;3.22222;3.87967;?;2.42899;16.5185;?;24.7778;?;?;24.7778;-4.88889;24.7778;0.60922;?;0
143;24;?;0;0;?;?;?;?;?;117.667;141.667;?;-29.8889;42.1111;?;?;?;-2.34925;0
?;?;?;0;?;0.611111;?;0.444445;0.207407;6.48148;7.55556;?;3.66667;?;?;-8.44444;8.33333;0.559171;-1.19107;1
72;111;9;?;?;?;?;0.944444;1.3963;?;?;3.55556;0.333333;-3.88889;6.77778;-2.88889;?;1;?;0
?;?;?;0;0;0.722222;?;0.722222;0.151852;1.55556;?;3.66667;?;?;?;-2;?;0.977778;?;0
58;?;9;0;0;0.77778;0.501848;0.388889;0.327731;112.222;97.7778;131.333;107.556;?;?;-14;131.333;?;-2.39689;0
138;?;9;0;0;?;0.92896;?;1.06805;124.037;?;140.444;?;-32.7778;49.2222;?;140.444;?;?;0
57;?;?;0;0;0.944445;0.551852;?;?;19.5926;15.7778;?;24.5556;?;-3.44444;14.8889;24.5556;0.35899;?;0
?;142;?;0;?;0;?;?;0;0;0;0;0;?;0;?;?;0;?;0
24;?;9;0;?;?;0.772203;?;?;?;?;79.2222;54.5556;-24.2222;?;?;79.2222;0.315538;-2.08372;0
160;41;?;?;?;0.833333;0.809664;0.222222;0.172133;?;?;1.22222;?;?;?;?;1.22222;0.537037;?;0
?;?;9;?;0;0.666667;0.222222;?;?;?;9.77778;?;16.2222;?;-7.11111;?;?;0.419762;?;0
?;220;?;?;?;1.16667;0.833333;?;?;6.62963;?;?;9.55556;-3.88889;?;?;?;0.5039;?;0
90;122;9;0.111111;0;1.66667;?;?;0.691215;?;?;?;13;-17.8889;27.4444;-9.55556;25.3333;0.584744;?;0
?;?;?;0;?;3.22222;3.05185;?;3.2;?;?;?;15.6667;-14.4444;26.5556;-12.1111;28.5556;0.479715;?;0
170;62;?;?;?;0;?;?;0;0;0;?;0;?;?;0;0;0;?;0
?;176;9;?;?;0.777778;0.655461;?;?;22.1852;?;?;27.7778;?;-7.22222;16.7778;?;0.316041;?;0
204;12;9;0;?;0.777777;?;?;0.785183;?;?;143.111;?;-35.6667;?;?;?;?;-2.40292;0
?;?;9;0;?;0.555555;0.42963;?;0.251852;?;5.77778;?;11.4444;?;-5.44444;11.2222;?;0.51532;?;0
203;?;9;0;?;?;0.136083;?;0.403687;?;?;24.8889;?;?;?;?;?;0.481852;-2.14376;0
?;91;?;0;?;1.05556;?;?;?;?;92.5556;123.444;98.6667;-37;?;-18.6667;123.444;0.250204;?;0
?;?;9;0;0;?;?;?;?;40.4444;35.3333;49.6667;?;?;27.6667;-12.3333;?;?;?;0
112;77;?;0;0;?;0.574135;?;0.809667;?;?;?;?;-41.2222;?;?;125.222;?;-2.42468;0
109;?;?;0;0;?;0.691214;0.388889;0.327731;51.7778;47.6667;?;46.1111;-12.3333;?;-17;61.5556;?;?;0
?;?;?;0;0;1.66667;1.46667;?;1.82222;16.3704;?;?;20.6667;?;?;12.8889;20.6667;0.333856;2.23903;0
?;?;9;?;?;1.55556;1.96261;?;1.74696;2.92593;?;?;1.88889;?;?;-3.11111;5.66667;0.862771;?;0
?;?;?;?;0;?;0.996296;?;?;?;?;?;0.555556;-3.77778;?;-2.77778;3.66667;0.961905;?;0
?;175;?;?;0;?;?;?;?;15.3704;12.4444;?;20.1111;?;-5.44444;14.2222;?;0.387412;2.2422;0
?;?;9;?;?;?;9.71311;22.1111;21.6186;?;?;?;17.5556;?;14.4444;-3.22222;23.4444;0.607613;?;0
