ID-type;Right-Ascension;Declination;Blue_base_1;Blue_base_2;Red_base_1;Red_base_2;blue-band-flux_1;blue-band-flux_2;blue-band-flux_3;blue-band-flux_4;blue-band-flux_5;blue-band-flux_6;blue-band-flux_7;blue-band-flux_8;blue-band-flux_9;blue-band-flux_10;blue-band-flux_11;blue-band-flux_12;blue-band-flux_13;blue-band-flux_14;blue-band-flux_15;blue-band-flux_16;blue-band-flux_17;blue-band-flux_18;blue-band-flux_19;blue-band-flux_20;blue-band-flux_21;blue-band-flux_22;blue-band-flux_23;blue-band-flux_24;blue-band-flux_25;blue-band-flux_26;blue-band-flux_27;blue-band-flux_28;blue-band-flux_29;blue-band-flux_30;blue-band-flux_31;blue-band-flux_32;blue-band-flux_33;blue-band-flux_34;blue-band-flux_35;blue-band-flux_36;blue-band-flux_37;blue-band-flux_38;blue-band-flux_39;blue-band-flux_40;blue-band-flux_41;blue-band-flux_42;blue-band-flux_43;blue-band-flux_44;red-band-flux_1;red-band-flux_2;red-band-flux_3;red-band-flux_4;red-band-flux_5;red-band-flux_6;red-band-flux_7;red-band-flux_8;red-band-flux_9;red-band-flux_10;red-band-flux_11;red-band-flux_12;red-band-flux_13;red-band-flux_14;red-band-flux_15;red-band-flux_16;red-band-flux_17;red-band-flux_18;red-band-flux_19;red-band-flux_20;red-band-flux_21;red-band-flux_22;red-band-flux_23;red-band-flux_24;red-band-flux_25;red-band-flux_26;red-band-flux_27;red-band-flux_28;red-band-flux_29;red-band-flux_30;red-band-flux_31;red-band-flux_32;red-band-flux_33;red-band-flux_34;red-band-flux_35;red-band-flux_36;red-band-flux_37;red-band-flux_38;red-band-flux_39;red-band-flux_40;red-band-flux_41;red-band-flux_42;red-band-flux_43;red-band-flux_44;red-band-flux_45;red-band-flux_46;red-band-flux_47;red-band-flux_48;red-band-flux_49;Scale_Factor;binaryClass
?;15.357;-22.735;497;?;185;211;15417.868;15502.774;?;14098.246;13187.972;12667.608;?;11460.472;10732.913;10285.959;10103.296;9806.431;9489.988;9064.238;?;?;8162.214;?;?;7604.4136;?;?;7248.9053;7051.5483;6469.1743;6465.9565;6532.8896;?;5926.086;5749.9346;?;5409.0513;?;?;?;4896.9478;?;?;?;?;?;4308.238;4339.273;4202.271;?;?;?;6151.8247;?;5165.6704;4821.919;4528.771;4141.0273;?;3427.6094;3229.1833;3058.5122;2762.241;?;?;2305.8625;?;?;?;1829.1785;?;1695.3286;1516.669;?;1399.2034;1385.3508;1405.7684;?;1195.393;?;1233.0305;1049.5653;?;1017.1017;982.11993;958.5658;?;891.9019;?;823.63354;744.6447;668.9251;?;757.32416;595.1566;566.7718;?;531.2269;0;0
?;15.367;-75.755;1621;1668;890;922;?;?;19738.594;19101.805;17947.113;16190.258;?;13918.306;?;11145.92;?;?;?;7931.169;?;7672.1665;?;7539.672;7295.028;6951.2793;?;7190.7236;7310.481;7586.3877;?;7501.351;6664.576;6434.997;?;?;?;?;?;?;?;4279.251;?;?;?;3958.8362;?;?;?;?;?;?;?;?;?;?;4134.366;3785.3115;3394.1763;?;?;2473.8296;1921.7802;?;2369.1853;?;?;?;?;1131.412;1062.8698;?;1267.8579;?;?;1025.3303;999.0497;?;?;694.7982;?;?;764.9175;892.4091;?;?;?;510.34274;?;?;389.9763;?;216.44444;?;114.82795;?;484.12527;?;?;0;0
4;15.372;-2.059;?;?;383;?;14544.374;?;?;?;11171.91;?;?;?;?;10316.559;10507.78;10935.785;11580.192;?;11130.267;?;10802.733;?;?;9236.791;?;8180.384;8042.619;7715.1533;7232.481;7021.0728;6532.16;6322.352;5831.8994;5532.7476;?;5067.7563;4663.593;4414.6665;?;4081.4773;3860.807;?;?;?;3489.3726;?;3161.0347;?;?;?;?;5937.384;?;4528.773;3650.4414;3305.2095;?;?;2467.111;?;?;?;?;1987.6237;1938.7777;?;2074.717;1972.5736;1973.916;?;1884.1039;2246.077;?;1767.4395;?;1903.4364;1722.924;1725.8601;?;1559.2684;1532.4209;?;?;?;1418.78;?;?;?;?;1000.817;1068.0631;?;?;?;?;888.47156;736.21814;0;0
?;15.376;-56.091;967;986;559;?;?;?;?;12669.814;11622.835;10970.566;?;?;7575.7886;?;5891.9536;?;?;5740.5693;5559.5786;5303.6333;?;?;?;?;?;5109.7656;?;4844.2725;?;5389.6104;?;?;5744.879;?;?;?;?;?;?;?;5731.195;5591.6245;?;?;?;?;5245.681;5078.5923;?;?;?;?;?;?;5686.104;?;5442.22;?;?;4612.1455;?;?;4091.1514;?;?;?;3579.1223;?;?;3206.6184;?;2835.914;3152.352;?;2711.295;2779.9094;2626.7004;?;?;?;?;?;?;?;?;2542.173;2402.756;?;?;?;2151.0747;2397.1853;?;?;?;2278.634;?;?;0
?;15.377;?;?;723;?;?;7509.1016;7871.7197;7632.4824;?;8060.3364;?;?;?;10198.134;11065.577;12274.184;12247.386;?;12120.125;?;11589.944;11007.473;?;10158.704;?;9611.642;9163.625;8871.048;?;8033.0645;7893.3237;7224.127;6682.707;?;6018.7466;5461.567;5138.844;?;?;4082.5117;3923.163;3657.1414;?;3399.0894;3148.9084;3168.7432;?;2889.7068;?;9748.259;?;7359.2163;?;5248.2363;?;3997.4524;3549.9111;3243.3245;2906.4688;?;?;2603.3098;2520.7344;?;2458.3684;2497.0146;2551.4812;?;?;?;?;2534.2493;2385.9575;?;2268.5308;?;?;?;2041.695;2063.375;1908.5721;1811.73;1805.7749;?;1662.1766;?;?;?;1522.5771;?;1332.9591;?;?;1259.9695;1223.7968;1053.2852;1006.58594;905.8905;0;0
?;15.426;19.736;?;?;?;190;5975.77;6065.7065;5900.927;6348.1587;?;7726.654;7912.495;8822.217;?;?;?;12387.257;?;12788.956;?;11709.349;11644.728;10996.463;10790.344;10469.667;10078.914;9500.811;?;?;8412.261;?;?;?;6422.32;6104.4795;5754.301;5176.3296;4730.468;?;4034.2275;4034.5674;?;?;?;?;?;3120.193;3090.9397;3067.0864;10576.853;?;7727.053;?;5388.398;4376.868;?;3300.2178;?;2857.2795;2662.8289;?;?;2388.3645;?;2370.4407;2483.5085;2550.7725;2619.4084;2636.8457;?;2574.7327;?;2412.9526;2480.365;?;?;2281.0173;?;2119.4434;2023.8512;?;1968.8514;1842.2979;?;1663.365;?;?;?;?;?;1374.8685;1323.9022;?;1259.742;?;?;1125.8281;?;0;1
?;?;?;?;1272;?;650;?;?;?;8161.37;?;10046.3;?;?;11492.093;?;?;11842.916;?;10971.623;?;10457.388;10362.76;10127.252;9801.079;9346.581;?;?;?;8742.044;8093.6543;8019.9233;7173.4663;6642.233;6226.7676;?;5284.2456;4829.719;?;?;3824.5947;?;3718.935;?;3344.0715;?;3548.0474;?;?;?;?;?;7620.8784;6509.9404;?;?;?;3220.269;?;?;?;?;?;2313.185;?;2351.888;?;?;2638.892;2273.3926;?;?;2414.2183;2463.06;?;?;?;2275.0361;2303.0432;2121.8442;2202.884;?;?;?;1801.8826;1517.5499;?;?;?;1459.9205;?;?;?;?;?;?;?;1173.604;?;?;0
?;?;?;?;394;?;334;?;?;?;?;?;6551.2725;?;7590.362;8350.654;?;9879.08;?;?;?;10543.02;10014.479;9843.137;?;?;?;9043.565;8788.245;8575.476;?;?;?;7520.605;?;?;6484.788;6090.6196;5725.5654;5450.092;5261.959;?;?;?;4635.961;4474.703;?;4360.4614;4292.1426;4024.5085;?;8806.11;?;7582.502;?;5839.3804;?;?;4514.737;?;3938.4976;3594.402;3245.8345;3125.7031;3003.3389;?;?;?;?;2759.9978;2819.0645;2881.4946;2891.3003;?;?;2653.12;?;?;?;?;2314.821;2311.22;2115.0242;2104.7102;?;?;?;?;1814.6705;?;?;1596.7795;1487.9479;?;?;1393.2539;?;1334.6129;?;1034.1119;?;0
?;15.484;-55.768;2149;2080;493;?;?;?;?;6981.8403;?;5010.7;?;?;?;1668.9631;1074.4985;?;508.19376;324.6401;?;377.79288;?;527.392;?;1222.8192;1678.4434;1912.9987;?;?;?;?;?;3433.1807;3746.5251;?;?;?;?;4233.76;?;?;5703.9136;6914.886;?;?;5555.8496;4547.9355;4206.294;?;2403.788;?;?;?;4201.438;?;?;?;?;5108.507;?;4886.545;?;?;5353.1943;5776.7383;?;5884.175;5756.942;?;?;5760.811;?;5950.2603;6142.133;?;6455.5146;6928.841;6989.179;?;?;?;?;?;7026.5337;?;?;7758.884;7636.0527;8225.207;?;8189.3965;?;8748.417;?;8601.874;?;8352.733;?;?;0
0;?;?;?;?;?;1240;?;4739.559;?;4860.5244;4869.7017;?;?;?;?;?;?;?;?;11777.578;12195.188;?;?;?;11549.395;?;11189.227;10836.618;9464.315;9636.442;9543.6455;?;7803.261;?;?;?;?;6239.9644;5122.396;5791.5474;5960.4404;4386.233;?;?;?;?;4082.3457;?;3982.8682;?;10198.588;?;8787.104;?;?;4893.9917;?;?;?;3295.6729;3039.9744;3052.7422;?;2368.898;?;2403.3052;?;?;2441.9832;?;?;2470.3513;?;2041.3536;?;2595.5293;?;2178.8345;?;?;1815.3444;1460.6233;551.6;1702.9546;?;1751.8354;1559.2704;?;?;?;?;1107.2997;1230.2858;?;1068.3888;?;?;1210.8223;910.26935;0;1
4;?;?;?;554;239;?;?;15257.707;14866.764;13866.031;12911.315;12204.779;?;?;10716.296;?;10129.927;?;9969.241;9634.131;9614.595;?;8824.377;?;8172.2124;8006.379;7878.3477;?;?;?;6764.6323;?;6326.103;?;5815.248;5881.1455;?;5363.705;?;?;4654.1;?;?;?;4135.282;4442.7773;4321.2866;?;?;?;?;7188.894;6435.2266;5837.6797;?;5129.0317;?;?;3857.184;?;?;3012.543;2704.125;?;?;?;?;2024.7762;?;1992.9407;1883.3245;1931.4885;?;1738.5176;1594.3572;?;1442.4377;1418.2432;?;1279.4377;?;1247.4469;1213.364;1151.3348;1090.9448;1093.0079;1022.7474;995.2167;?;?;902.7391;?;837.7812;672.1637;810.6125;?;?;701.6242;688.8471;0;0
?;?;-49.343;?;?;667;?;13877.575;12998.866;?;11971.206;?;10210.045;9497.755;?;?;10108.447;10307.056;?;10337.506;?;?;10115.731;9442.57;9465.044;?;?;?;8023.0156;?;7262.3545;7363.468;6936.406;6576.9453;?;?;?;5870.3633;5508.006;?;5383.767;?;?;?;?;?;4104.2485;?;?;3481.728;4030.247;8530.515;?;7119.3105;6529.7915;?;?;?;?;?;?;3434.0923;3175.2563;2930.2883;2751.3936;2449.702;2275.499;2273.3103;2180.565;2164.6296;?;1970.0951;2084.7737;1803.3218;?;1708.8297;1746.8434;1711.1772;1902.7893;1705.9434;?;1496.5759;?;1367.1373;1479.0298;?;1171.586;?;945.5945;?;1040.5892;1144.9233;?;1167.8408;?;866.8249;?;856.0731;?;753.24225;0;0
0;15.555;?;1093;?;?;671;?;?;?;?;?;?;?;10917.806;11233.334;?;?;11947.286;11453.01;?;?;?;10352.108;?;9216.375;?;?;8499.776;?;?;?;?;7121.5957;?;?;?;5032.5044;?;4762.1025;4533.943;?;?;4042.3462;?;3682.5178;?;3554.1199;?;?;2958.0054;9278.751;?;?;?;5461.717;?;?;?;3276.907;2873.267;2745.1035;?;2419.9119;?;?;2392.1765;?;?;2327.2617;?;?;2139.7693;?;2296.6807;2488.0823;2227.7058;?;2125.6768;?;2048.443;?;1761.8511;1691.5566;?;1780.9905;?;?;?;?;1620.9856;?;1247.6287;?;?;?;1038.0952;?;1197.7864;999.4031;0;0
4;?;15.265;?;?;?;160;18715.65;?;?;14911.866;13956.727;?;12391.17;11878.386;?;?;?;10570.373;?;10152.011;10014.659;9473.377;?;8806.317;?;?;?;?;7109.3228;?;6509.5186;?;?;5667.3574;?;5446.7583;?;?;4696.687;?;4376.6567;4321.954;?;?;3729.0652;?;3585.289;?;?;?;?;?;6269.11;5613.612;?;4436.8647;?;3673.9133;3250.4084;?;?;2634.953;2389.6892;?;?;?;2019.7452;?;?;1866.608;1803.4968;?;1746.2766;?;1624.0662;?;?;1404.5474;1391.404;1330.4188;?;?;1203.0952;?;?;?;1043.7811;?;?;?;?;?;?;788.5301;766.06696;?;719.26276;?;?;?;0
0;15.593;?;1310;1245;769;828;?;?;?;7888.483;?;?;?;9512.529;?;10363.478;10884.817;11003.574;?;?;?;10049.864;?;?;9374.747;9122.329;8679.345;8507.658;?;?;7718.668;?;?;6895.48;6399.3804;?;?;?;4597.8403;?;4141.836;?;?;3781.4392;?;?;3403.2922;3242.7336;?;?;?;?;7170.518;6168.864;?;?;?;3554.77;3117.4824;3283.4424;3098.6272;2848.2314;?;2791.746;2777.4346;?;2544.4692;?;3177.2996;2975.0994;?;3155.043;3137.1533;3183.643;3077.4592;?;?;2759.0193;?;?;2698.169;2547.9375;2364.9116;2494.8584;?;?;2313.1257;1937.0916;2115.0574;1867.7644;?;?;?;1633.339;?;1381.1635;?;1783.9692;?;0;0
4;?;?;439;?;?;250;24219.484;?;20456.078;?;?;15791.526;?;14048.975;?;12268.915;?;11110.587;?;10006.259;9232.807;?;8676.499;?;7705.664;7457.143;?;?;6533.913;6731.2227;?;5825.2485;5607.845;?;?;?;?;?;4472.8433;?;4102.6284;?;?;?;?;3390.587;?;?;?;2835.0535;7613.2124;6757.386;?;5290.1655;?;?;?;?;3271.9255;?;?;?;2107.068;?;1732.155;?;1650.0183;1306.0251;?;?;?;?;1222.9941;?;?;982.8134;936.703;720.0372;656.1145;?;?;665.47314;?;784.5854;?;616.0493;493.60052;?;?;?;561.32996;?;?;486.77783;?;?;?;?;?;0;0
0;?;?;?;?;?;881;?;12275.397;?;12610.957;?;10936.826;10917.717;?;8667.201;?;8156.2837;8457.212;7346.334;6473.779;6918.48;5753.247;6021.3696;6469.0063;6328.37;5664.4736;?;?;?;6009.957;6294.752;?;5741.9653;?;?;?;?;5569.141;?;4960.18;?;5583.2876;?;5231.075;?;?;4870.5264;?;?;4769.833;6563.4707;?;?;?;?;?;5297.59;5124.572;?;4007.8442;4214.2627;4015.1704;3786.7173;?;3879.4788;?;?;?;3093.3806;?;2945.1262;?;?;2798.0562;?;2597.4697;2607.8945;?;?;2315.792;?;2118.5886;?;?;2467.664;2142.3755;2179.3286;?;1996.3258;?;2206.5706;2116.674;?;2286.7651;?;2303.6663;2300.5278;2040.4412;1430.5283;?;0
2;?;?;?;2118;?;?;14298.92;13046.568;13900.018;?;11426.427;?;11786.515;?;12025.127;?;?;12711.613;12630.564;13062.114;?;?;11122.472;10688.695;9914.483;9011.295;9152.925;?;7631.722;?;6981.632;6252.5386;?;5851.785;?;?;4749.145;3547.166;4350.529;3175.4941;?;3676.6714;?;?;?;3254.678;2970.488;?;?;3037.386;?;7804.8237;6535.884;?;4435.282;?;?;2687.5903;2547.6711;2570.8323;?;1986.3602;2143.9338;2176.0667;2020.0354;?;?;1894.2378;?;1886.8436;2031.8896;?;1908.022;?;?;1780.4731;?;1649.4514;?;?;1401.8544;1604.261;1571.9095;?;?;1211.4291;1421.0089;1216.6251;?;1187.7758;981.6024;1119.5044;1144.5078;1072.741;1192.7247;966.84265;?;984.59906;1099.2094;?;0
?;?;-54.228;?;?;441;?;?;?;?;?;7844.0107;7379.346;?;?;6364.544;5966.926;?;?;5160.915;5102.258;?;5104.6377;?;5670.9795;?;5750.944;5865.613;5897.9424;5928.361;?;?;?;?;?;5951.028;5869.4404;?;?;?;?;?;4899.311;4957.5273;4627.972;4549.274;?;4536.461;4431.916;4535.143;?;5353.8037;?;?;?;5667.869;?;?;?;4645.737;4576.003;4589.5864;4400.2036;4327.647;4129.6772;4120.3423;?;?;4481.142;?;?;?;4616.3994;?;4544.2964;?;?;4368.2236;4115.822;?;?;?;?;3893.721;?;3686.774;?;3640.7036;3528.1536;3511.3555;?;3559.1584;3389.1807;?;3212.008;?;3163.153;3155.0085;?;2945.3245;?;0
4;?;-1.553;446;?;?;404;14117.992;14126.539;13963.102;?;?;?;?;11092.568;10394.05;10170.271;9967.312;10123.379;9838.928;9882.351;?;?;8867.688;?;?;?;7938.5693;7713.7866;7468.2676;7193.106;6910.558;?;?;?;6080.2603;5814.153;5699.372;?;5300.769;?;?;4794.9834;?;4599.7974;?;4673.1743;?;4133.979;?;?;7772.7314;7181.4766;6566.5684;?;5681.11;?;4890.833;?;4128.9473;?;?;?;2847.4805;2727.0918;2412.4116;2484.926;?;?;?;1919.3458;2082.478;1677.4966;?;?;?;?;?;?;1333.7915;1332.4423;1273.2567;1239.3037;?;1184.7933;1124.1827;1053.2017;943.6659;?;?;?;886.87506;?;?;703.85046;668.5753;674.84515;543.16986;515.3411;500.8718;?;0
?;?;-50.316;1441;?;?;?;7438.4014;7859.9907;?;8493.978;8957.252;9075.989;?;?;?;?;11638.057;11700.726;11322.325;?;10874.489;?;10202.163;?;9536.92;?;9481.172;?;?;?;?;?;?;?;?;6209.005;5889.2466;?;4929.9927;?;4639.4355;?;?;?;3352.8066;3430.2957;?;?;3261.7327;?;?;?;7792.367;6878.897;?;?;3867.5398;?;?;?;3274.647;?;?;?;?;?;?;?;2353.6777;2562.035;2591.221;2497.7551;2470.4946;2269.5732;?;2034.6309;?;?;?;1784.291;1779.328;1970.1426;1741.907;?;?;1599.1023;?;1640.4835;?;1720.5457;1205.7433;?;1239.0475;1210.9238;?;1236.0613;?;1302.6195;991.97614;?;0
4;?;?;?;?;162;199;13710.306;?;13242.907;12600.9795;?;?;11209.628;11166.883;?;11235.544;11060.365;11380.604;?;?;?;10527.455;?;?;9215.92;?;8757.815;?;?;7735.9087;?;7264.942;6679.524;?;6159.645;5772.9873;5515.9478;5127.8643;4914.043;?;4457.6177;?;?;?;3893.3518;3980.5588;?;3640.8687;3516.3948;?;?;7999.246;7055.779;?;5271.246;4744.117;4189.666;?;3435.141;?;?;?;2534.1885;?;2207.7168;2104.2798;1956.2197;1962.272;1773.9274;?;?;1593.5089;?;1466.1088;?;?;1281.595;1215.7964;1230.6566;?;?;?;?;1001.26196;970.1035;938.9544;?;?;?;?;817.9076;711.9248;752.8416;662.7157;650.36334;?;563.75525;?;?;?;0
?;?;?;1016;1155;?;?;?;6718.086;?;?;?;6374.41;?;7663.7446;8241.795;8822.554;?;?;11421.369;?;11522.4;11256.539;?;10431.628;10179.109;9824.894;9543.384;9392.718;?;?;8232.72;8054.437;7474.517;7376.895;6761.356;?;6313.882;5920.398;?;5186.356;5117.9775;4762.906;?;4508.6685;?;?;?;4021.5774;4103.99;?;9792.63;?;?;?;6068.711;5264.1304;?;?;3942.8726;3690.452;?;3052.079;?;2802.0637;?;2600.848;?;2600.3882;2530.1035;2384.4885;2335.3113;2501.4875;?;2323.7815;?;2260.9727;?;?;?;2013.6516;1960.3817;1996.949;1919.8751;?;?;1730.8796;1665.6609;?;?;1541.3035;?;1294.5203;1357.4181;?;?;?;?;?;1159.9033;?;0
4;15.821;48.632;?;358;130;?;17967.623;?;15624.641;?;13566.533;12674.321;?;11191.501;?;9961.892;9479.2705;?;?;9148.376;8697.434;8391.697;8240.476;?;7926.881;7719.8315;?;7463.9814;?;?;6664.192;6607.9575;6248.2983;?;5970.177;?;?;?;5036.0913;4782.568;?;4457.9614;4368.2627;?;4276.3677;?;?;3966.3555;3791.0447;?;?;7081.071;6521.243;?;?;4719.1494;?;?;?;?;?;?;2803.1702;2563.8591;2380.4133;?;?;2230.413;?;2034.9346;2006.094;?;1881.4377;?;?;1679.6544;1654.6107;1514.1628;1479.8326;?;?;1421.5765;?;1252.4773;1166.0787;?;1190.6278;1065.1605;?;?;1008.9857;961.7312;918.20605;844.903;870.2674;806.28424;775.8146;?;718.6153;?;0
?;15.85;?;?;930;?;658;?;?;?;?;10563.611;10689.829;9953.039;9413.137;8457.056;7080.081;?;?;?;4504.271;?;4369.982;?;?;?;5097.6235;?;?;?;5834.685;5839.4507;?;?;6320.6157;6340.7056;6234.6455;?;6015.449;?;?;?;?;5429.724;5435.6616;5112.6675;4853.3364;5334.3984;?;4892.3677;5036.2427;5051.2104;?;?;6230.0313;6152.247;5844.5967;5439.1216;?;5113.989;4838.279;?;4612.3193;?;4314.522;4194.5347;4117.0073;?;?;?;?;?;?;?;3628.1582;?;3549.9812;3652.9734;?;?;3334.7952;3361.1904;?;?;?;?;?;?;?;2558.7178;2662.991;2856.8723;?;2699.969;2471.7964;?;?;?;?;1935.8278;?;0
?;15.884;?;?;?;?;580;7388.2944;?;?;6676.202;6349.8335;?;7264.334;7267.302;7447.8022;?;9292.789;?;10417.771;10522.312;?;10907.688;10851.806;10155.538;?;?;9611.933;?;8891.558;8727.884;?;8136.0435;?;?;7080.5024;6989.043;6429.8457;?;5642.037;?;5119.9155;?;?;4468.335;4487.0435;?;?;3941.951;4073.2952;?;9926.603;?;8274.772;?;6170.1406;5226.877;?;?;?;3631.2822;?;3178.9888;2965.7437;2663.143;?;?;?;2567.2236;2470.4458;2885.5024;?;?;2399.4316;2637.0173;?;?;?;?;?;2091.5066;1977.7799;1865.2897;?;1936.659;?;?;?;?;?;?;?;1305.4557;?;1352.5355;?;920.89453;?;1021.91473;?;?;0
?;?;?;?;?;?;1027;9384.599;9523.136;10333.321;?;?;?;?;?;9491.982;?;?;?;11697.863;12312.633;?;?;11742.238;10818.964;9979.345;?;9767.892;?;?;?;8198.363;?;7262.387;6987.138;6438.539;5974.988;5474.657;5015.4526;4896.27;4499.4883;?;4274.0894;?;4065.856;3735.854;3985.2688;4391.957;4008.2383;3606.1387;3575.2136;9144.998;?;7788.2915;?;5333.906;4380.868;?;4028.8513;?;?;2823.188;2836.3967;2457.237;2117.7598;?;?;?;2091.5837;2286.2285;?;2012.6063;1877.2302;1892.0214;2100.893;?;1871.2983;?;1698.4055;?;?;1720.3221;1365.4761;1397.3605;1457.5833;?;1338.6516;?;1239.58;?;1129.2021;?;872.94275;1200.9553;?;?;?;?;?;?;0;0
0;15.947;?;484;?;?;238;?;7348.4185;?;?;?;?;9181.956;?;?;?;?;?;?;13875.449;?;?;?;?;11428.763;?;?;9590.869;?;?;8388.297;?;7179.899;6617.3135;?;5945.854;5537.564;?;4639.3716;4498.788;4120.802;4104.2466;?;?;?;?;?;?;?;?;?;9166.835;7715.707;6553.4395;5158.321;4372.644;?;3339.701;?;2728.7405;2535.9453;2503.4597;?;2101.3108;?;2004.6797;1938.9918;?;?;1859.9459;?;?;?;?;?;1655.2268;?;?;?;1374.7396;?;1402.39;1277.8583;?;?;1093.3215;?;1039.3811;920.93054;920.4363;?;869.55914;826.737;?;806.1304;?;?;633.86005;583.50116;0;1
0;?;?;?;?;?;875;?;6740.0845;6497.8213;6803.7056;?;7853.3994;?;8909.564;?;11311.336;11935.358;?;?;12335.731;?;?;11272.431;9748.797;?;9760.182;10096.679;?;?;?;8245.109;?;7535.906;?;?;?;5738.8525;4995.17;?;4520.9707;4274.291;?;?;?;3383.5112;?;3468.6958;4176.073;?;?;?;?;7680.5845;?;?;?;4262.314;3872.853;3221.3435;?;3091.3508;3008.8113;?;2516.1987;2607.903;?;?;2531.5557;?;?;?;2532.7756;?;2141.1494;2287.3308;2738.7458;?;?;?;?;1729.615;?;1534.7292;1834.4078;1709.0201;?;?;1102.7877;1631.0216;1834.8634;?;866.66925;1228.735;?;?;862.3659;?;1163.0746;?;0;1
?;?;?;?;249;?;?;?;7283.512;?;6824.241;?;?;7059.07;?;?;?;10083.575;?;11465.662;?;11929.606;11809.481;?;11052.091;?;?;?;?;?;8663.871;?;?;7512.6016;?;?;?;6277.968;?;5499.8965;5171.994;4930.898;4830.402;?;4474.148;4277.074;?;4039.424;3853.3599;?;?;?;8844.937;?;?;5978.047;5183.462;4623.644;4172.6646;?;3364.9211;3115.741;?;?;2576.1643;?;?;2464.6519;2409.9885;?;2349.6077;2354.8918;2273.3845;?;?;2175.6428;?;?;?;?;?;?;1740.0862;1674.5804;?;?;?;1503.1028;?;1302.483;1320.1626;1275.4965;?;1156.8401;?;?;?;?;?;864.57996;?;0
?;?;47.377;?;?;?;?;?;?;12205.489;?;?;10832.411;?;?;?;?;11044.161;?;11602.173;11477.413;11229.606;?;10200.766;?;9337.306;?;8593.078;8150.472;?;7439.602;6998.2915;6719.778;6322.0576;?;5686.8594;5446.8164;5220.8774;4961.6147;4752.346;?;4333.82;4229.672;4199.873;4129.0586;4096.702;4127.1577;3985.8513;3885.5657;?;3599.1196;?;?;?;?;5068.987;?;?;?;3522.0083;?;2911.0774;2734.3867;2541.0024;?;?;2227.3047;?;2124.8694;2068.4912;2013.3739;?;1981.2733;1936.3544;?;1881.0747;?;1784.7129;1743.5594;1708.8009;?;1609.7616;1603.1644;?;?;?;1322.8525;1330.2976;?;?;1120.5592;1057.4635;963.5944;927.3988;?;871.64496;?;?;?;680.56537;0;0
2;16.019;?;?;1751;?;?;7359.19;7373.234;7950.308;7925.25;?;?;?;10520.6875;?;11642.243;?;13240.164;12946.082;?;?;?;11192.163;?;10510.205;?;9517.136;?;8815.257;?;8145.2734;?;7007.588;7004.0254;6235.3413;?;?;?;4808.4976;4659.808;3774.4458;3641.6597;?;?;?;?;3161.7656;?;?;?;9809.021;8741.11;7644.715;6586.237;5200.482;4208.36;3794.8413;3240.6013;?;2598.451;2497.8943;?;2290.4187;2281.5188;?;?;2265.8225;2184.159;2202.0854;?;2391.2644;2178.3499;?;2432.3013;2257.3076;?;?;?;?;1884.9851;2011.9146;1908.0225;1535.3658;1635.4045;1669.039;?;1464.3735;1599.1748;?;?;?;1094.9207;?;?;?;?;?;871.2053;771.98785;0;1
?;16.05;?;?;366;297;?;10914.207;?;?;10916.662;?;10570.708;?;9724.47;8786.032;7754.514;6468.242;5832.1455;5292.5674;4960.0073;?;4514.6606;?;4653.138;?;4494.9443;?;4549.5444;?;4823.9204;?;?;?;?;5392.1523;?;?;?;?;5536.7144;?;?;5162.727;?;4955.231;4810.759;4841.9146;?;?;4715.501;?;4631.3584;4701.1113;5179.131;?;?;?;?;4934.7114;4816.041;4592.6885;4433.3086;?;?;4142.441;4318.051;?;4350.568;?;?;4138.8022;4102.7207;?;3967.75;3933.9963;?;3832.758;3869.9573;3681.5056;?;?;?;?;?;3260.323;?;?;3254.4482;3017.147;3200.9053;3206.7024;?;?;2968.2017;?;2822.7717;2844.854;?;?;0;0
?;16.051;?;1345;?;550;496;9421.456;9511.948;?;9131.861;?;?;?;9281.755;9646.573;10224.292;10932.694;11504.8955;11659.181;11360.505;?;11246.903;10774.191;?;?;10209.029;9217.195;9420.931;8868.441;?;7793.013;?;?;6946.588;?;5997.546;5695.5146;5441.9824;5022.6284;?;4275.504;4013.781;?;?;?;?;3330.266;?;?;2940.934;8838.364;?;7031.292;6470.017;5622.917;?;?;?;?;?;?;2932.1807;?;2513.687;?;2692.1956;2277.284;2157.5393;2318.1372;2194.2986;?;?;2178.4995;2182.6262;?;?;?;2015.6282;2031.7952;1816.1039;?;1619.214;?;?;?;1480.0199;?;?;?;1395.8857;?;?;1139.2385;1253.6099;?;?;?;1135.4335;889.86163;0;0
0;16.052;-48.94;1006;1150;?;?;?;?;?;?;?;9355.842;?;9651.111;9816.516;?;?;10514.527;10153.552;9708.9795;?;?;?;?;8843.916;8789.534;8606.777;8274.437;8091.7466;7812.4814;7351.8247;?;?;?;6495.5234;6089.1924;?;5673.614;?;?;?;?;4403.561;?;4275.73;?;3910.0024;3961.0137;3778.782;3594.211;?;?;?;?;5969.944;?;4368.175;4007.3645;?;3453.1377;3230.265;?;?;3123.7617;?;3056.4204;?;?;2891.366;?;?;?;?;?;?;2214.3127;2404.0938;?;?;?;?;?;?;?;1594.9044;?;1693.1271;?;1377.8823;1515.9718;?;?;?;?;?;1173.6732;1354.2305;?;1060.3535;?;0
