attr1,attr2,attr3,attr4,attr5,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr24,attr25,attr26,attr27,attr28,attr29,attr30,attr31,attr32,attr33,attr34,attr35,attr36,attr37,attr38,attr39,attr40,attr41,attr42,attr43,attr44,attr45,attr47,attr48,attr49,attr6,attr23,attr46,outcome
?,?,1528.2,1687.89,56.0,35.32,?,1990.0,?,?,0.24,0.29,0.44,?,0.28,?,?,2.04,0.21,?,75.26,?,?,0.18,9.24,0.84,4.33,-2.94,?,?,?,1.93,18.0,990.0,0.01,22.31,78.0,55.0,?,?,149.54,?,5.56,4378.82,66.37,7.64,?,0.0,0.0,0
78.0,?,1547.12,?,?,35.44,?,?,0.2,122.0,0.32,?,0.68,0.11,0.57,?,?,2.05,0.21,?,?,0.47,351.67,0.18,9.24,?,?,?,?,1.93,?,1.93,30.0,?,0.01,20.33,?,?,905.54,?,?,64.68,?,?,?,7.71,302500,0.0,0.0,0
79.0,?,?,?,85.0,39.97,6.75,2230.0,?,71.7,?,0.21,0.34,?,?,110.38,?,2.31,?,?,?,?,?,0.18,?,?,2.36,-3.19,?,1.94,0.0,?,?,?,0.01,31.08,?,55.0,855.86,400.0,?,?,?,5319.08,66.09,?,?,?,?,0
?,?,1714.19,?,?,39.64,?,?,?,?,0.23,?,0.57,?,0.44,35.65,?,2.29,0.21,?,?,?,351.67,?,?,?,?,-3.44,?,?,0.0,2.16,?,?,0.01,47.2,?,?,1382.93,316.23,211.12,?,6.55,?,?,7.86,?,?,0.0,0
81.0,?,1693.53,?,?,?,9.37,?,0.27,124.3,0.26,?,?,?,0.33,34.4,?,?,?,?,75.26,?,?,0.18,9.24,?,4.33,-3.37,?,2.16,?,2.16,?,2340.0,?,30.4,?,?,1457.74,?,?,?,5.46,?,?,?,?,?,?,0
82.0,?,?,1474.01,?,39.83,?,2540.0,?,81.7,?,0.24,?,0.11,?,?,24.75,2.3,?,0.22,?,?,351.67,0.18,9.24,?,?,-3.04,-0.24,?,?,?,?,?,0.01,?,?,?,?,316.23,135.59,?,?,7584.28,66.23,7.4,?,?,?,0
83.0,?,?,?,162.0,?,?,?,?,116.3,0.25,?,0.51,?,?,?,17.98,?,?,0.27,75.26,?,351.67,?,9.24,?,2.68,?,?,?,0.0,2.16,79.0,?,0.01,54.5,78.0,55.0,?,1044.03,574.63,292.9,2.37,?,66.3,?,737500,?,0.0,0
?,?,?,1673.75,51.0,43.03,?,6720.0,?,136.5,?,?,?,?,?,?,155.07,?,?,?,?,?,?,0.18,?,?,3.6,?,-0.33,?,0.0,?,?,4320.0,0.0,49.22,78.0,?,992.47,1030.78,767.97,?,1.29,30931.68,?,?,?,0.0,?,0
85.0,502.0,1338.75,?,57.0,?,8.74,6230.0,0.27,201.4,0.22,0.31,0.78,?,0.64,?,?,?,0.18,?,75.26,0.44,?,?,?,0.96,?,-3.0,-0.33,?,0.0,2.16,90.0,4950.0,0.0,30.93,78.0,?,1511.62,1040.43,709.75,?,2.13,9776.06,?,?,?,0.0,?,0
86.0,?,?,?,55.0,37.55,?,3090.0,?,?,0.18,0.2,?,0.11,?,50.06,?,2.17,0.17,0.2,?,?,?,0.18,?,0.32,?,?,?,1.93,?,1.93,37.0,1980.0,0.01,?,78.0,?,?,?,93.84,?,?,15720.91,66.3,6.71,215000,?,?,0
?,?,1785.22,1487.77,?,38.87,10.31,?,0.27,114.1,?,?,0.56,0.23,0.33,59.71,12.38,2.24,?,?,75.26,0.52,351.67,0.18,?,0.56,?,?,-0.64,2.16,?,?,26.0,?,?,24.02,78.0,55.0,901.39,?,?,?,3.12,?,66.31,?,?,0.0,?,0
88.0,?,1455.16,1164.07,48.0,?,?,?,0.21,?,?,?,0.49,0.11,0.38,40.86,?,1.9,?,?,?,?,?,0.18,?,0.34,1.95,?,?,?,0.0,2.17,?,?,0.01,48.79,78.0,55.0,?,?,?,?,?,?,?,?,?,0.0,?,0
89.0,?,?,?,?,35.31,?,2910.0,0.2,107.4,0.28,?,?,?,0.34,59.94,14.62,2.04,0.21,?,?,0.47,351.67,?,9.24,?,?,?,-0.25,?,0.0,?,33.0,?,0.01,?,?,55.0,1188.49,269.26,202.31,?,?,4265.09,?,?,312500,?,0.0,0
90.0,175.0,1439.58,1281.63,72.0,?,10.05,?,?,99.4,0.31,0.41,0.62,?,0.44,?,9.04,2.14,?,?,75.26,?,?,0.18,?,1.18,4.2,-3.24,?,2.17,0.0,?,42.0,2520.0,?,?,78.0,?,996.24,790.57,395.1,219.72,2.52,5019.76,66.16,?,437500,0.0,0.0,0
?,183.0,?,1648.53,117.0,43.09,?,?,0.07,85.7,?,0.09,0.16,?,?,?,152.2,2.49,?,?,75.26,0.57,351.67,?,?,1.07,?,?,-0.39,2.16,?,2.16,?,3960.0,0.01,?,78.0,?,782.62,806.23,422.74,?,1.85,29233.01,66.15,?,?,?,?,0
92.0,121.0,?,?,?,?,?,3440.0,?,?,?,0.23,0.36,?,0.21,51.06,21.91,2.32,?,0.23,75.26,?,?,?,?,0.66,3.41,?,-0.22,?,0.0,?,34.0,1980.0,?,39.12,78.0,55.0,1411.56,?,159.99,76.67,8.82,4880.79,66.18,?,302500,?,?,0
93.0,67.0,1582.84,?,?,?,6.94,2220.0,?,?,?,?,?,?,0.35,?,?,1.96,0.24,0.32,75.26,?,351.67,0.18,?,?,?,-2.76,?,?,?,2.17,24.0,1350.0,0.01,29.42,78.0,55.0,?,?,?,?,?,4731.78,66.08,?,?,?,?,0
94.0,66.0,1770.45,941.15,?,?,?,1620.0,?,?,0.29,0.52,1.07,0.24,0.83,44.6,?,2.04,0.23,0.42,75.26,?,351.67,?,?,?,?,?,-0.52,1.94,0.0,?,19.0,?,?,?,78.0,55.0,?,?,176.78,?,3.2,?,66.04,8.18,?,?,?,0
?,175.0,1647.32,?,94.0,?,6.59,?,?,97.7,?,?,0.62,?,0.55,?,35.16,2.26,?,?,?,0.52,351.67,0.18,?,?,5.28,-2.94,-0.41,?,0.0,?,49.0,?,0.01,45.88,?,?,?,550.0,?,138.81,4.51,4386.19,66.41,7.76,?,?,0.0,0
96.0,?,1391.75,?,?,41.23,?,2570.0,?,71.0,?,?,?,0.1,?,108.15,42.82,2.38,?,?,75.26,0.55,?,0.18,9.24,1.54,5.48,?,-0.4,1.95,?,?,?,?,0.01,36.19,?,?,610.33,500.0,240.45,173.0,?,?,?,?,?,?,0.0,0
97.0,151.0,1229.13,?,?,34.87,?,?,?,?,?,?,0.49,?,?,79.05,19.49,2.01,?,?,75.26,0.46,351.67,0.18,9.24,?,?,?,-0.23,?,?,?,?,?,0.01,?,78.0,?,1077.03,?,294.94,94.66,?,5621.94,66.14,7.42,?,0.0,0.0,0
98.0,92.0,1401.25,933.6,93.0,?,?,3430.0,0.14,67.1,?,?,?,?,0.14,97.01,?,2.51,0.13,?,75.26,?,?,0.18,?,?,3.04,?,-0.44,2.18,?,?,?,2700.0,?,?,78.0,?,951.31,300.0,176.32,88.77,5.4,8586.62,65.98,7.75,?,?,?,0
99.0,?,1732.82,?,?,?,?,?,?,?,?,?,0.34,0.11,?,?,?,2.21,?,0.18,75.26,?,351.67,?,?,?,?,-3.33,-0.61,?,?,?,?,?,0.01,?,78.0,55.0,?,?,215.77,?,?,3664.41,?,7.93,140000,0.0,0.0,0
?,?,1626.17,?,?,36.61,?,3700.0,0.21,?,0.26,?,0.69,0.17,?,64.56,?,2.11,?,?,?,?,351.67,?,?,?,?,-2.99,?,?,?,?,33.0,?,0.01,?,78.0,?,?,500.0,238.0,?,5.27,?,66.19,7.89,?,?,?,0
101.0,?,1586.95,?,?,34.49,?,3400.0,?,80.9,?,0.3,?,?,0.33,55.45,?,1.99,0.21,0.29,75.26,0.46,?,?,9.24,?,?,-2.82,?,?,0.0,?,47.0,2610.0,?,42.04,?,?,1150.0,?,191.3,93.73,?,7555.21,66.01,7.97,?,0.0,0.0,0
102.0,?,1375.38,?,129.0,?,?,9080.0,0.21,81.2,?,?,0.89,?,0.83,?,38.33,2.28,0.17,?,75.26,0.52,351.67,?,?,0.91,7.16,?,-0.34,2.16,?,?,107.0,6300.0,?,111.79,78.0,?,1210.37,921.95,?,273.1,2.42,?,?,?,?,0.0,0.0,0
?,75.0,1578.33,?,?,38.79,13.92,1940.0,0.36,96.6,0.36,0.45,0.72,?,0.56,16.0,?,?,?,0.41,?,?,?,?,?,1.51,?,?,-0.66,1.93,0.0,1.93,?,?,?,20.07,78.0,55.0,?,?,?,55.99,1.23,?,?,?,?,0.0,0.0,0
?,?,1023.97,?,?,?,?,2060.0,0.14,?,0.14,?,0.3,?,?,132.91,55.6,2.23,?,0.17,?,?,351.67,?,?,-0.07,2.49,-3.5,-0.36,?,0.0,1.94,?,?,0.01,22.94,?,55.0,800.0,?,?,83.6,4.65,?,?,7.15,?,?,?,0
?,141.0,129.73,?,?,44.06,?,5420.0,?,?,0.07,?,?,0.04,?,?,197.52,2.54,?,?,?,?,?,0.18,9.24,0.76,4.51,-2.03,?,?,0.0,?,57.0,?,?,83.34,78.0,55.0,?,813.94,?,221.24,?,27511.01,66.21,5.96,?,0.0,0.0,0
?,?,?,?,?,36.33,9.36,3380.0,?,85.8,0.22,?,0.43,0.17,?,?,?,2.1,0.24,0.27,?,0.48,?,?,9.24,?,2.98,?,-0.26,?,?,?,?,?,0.01,39.39,78.0,?,1298.08,316.23,175.1,?,?,11823.49,66.25,6.76,290000,?,?,0
?,?,?,1284.88,?,?,5.21,?,?,?,0.16,0.19,?,0.1,0.19,?,?,2.38,?,?,75.26,0.55,?,?,?,?,?,?,-0.27,1.94,0.0,1.94,27.0,1530.0,0.01,33.33,?,?,?,?,109.97,?,?,?,?,6.87,187500,?,?,0
108.0,?,?,?,?,?,?,2010.0,?,?,?,0.22,?,?,?,?,29.09,2.22,?,?,75.26,0.51,351.67,?,?,0.19,?,-2.67,?,1.94,?,1.94,?,?,?,31.08,78.0,55.0,?,?,90.8,?,?,6370.38,?,?,?,0.0,0.0,0
109.0,211.0,1193.38,?,77.0,39.05,9.04,?,?,100.1,0.26,0.31,0.64,?,0.56,?,21.1,2.25,?,0.27,75.26,0.52,?,?,?,?,?,-2.75,-0.28,?,0.0,?,?,3960.0,0.01,52.65,78.0,55.0,?,559.02,?,?,?,5055.28,?,7.34,?,?,?,0
110.0,?,1537.69,?,?,?,6.28,2700.0,?,?,0.22,?,0.49,0.13,?,?,17.85,2.05,?,?,?,0.47,?,0.18,?,?,?,-2.79,-0.63,2.16,0.0,?,?,1620.0,0.01,?,78.0,55.0,781.02,424.26,247.75,151.78,?,4184.46,66.2,7.77,?,0.0,?,0
111.0,?,1601.2,?,178.0,?,?,?,?,?,0.21,?,0.41,?,0.3,?,23.01,2.11,?,?,75.26,?,?,?,9.24,?,2.32,-2.99,?,?,0.0,2.16,24.0,1350.0,0.01,?,78.0,55.0,850.0,200.0,123.53,?,6.88,?,66.41,?,?,?,0.0,0
?,?,1417.16,888.45,?,?,?,?,0.12,?,?,0.16,?,?,?,?,66.49,2.37,?,0.15,?,0.54,351.67,0.18,?,-0.23,?,-3.13,-0.42,2.18,?,2.18,47.0,2700.0,0.01,?,?,?,1081.67,?,?,183.17,?,?,65.96,?,?,?,?,0
113.0,?,1182.16,?,47.0,37.79,?,?,?,?,?,?,?,?,?,105.43,?,?,0.18,?,75.26,0.5,351.67,0.18,?,?,?,-2.76,?,2.17,?,?,?,3060.0,?,?,78.0,55.0,1486.61,494.97,?,?,6.8,?,66.14,7.36,?,?,?,0
114.0,?,1489.67,?,?,38.95,?,?,0.25,151.4,?,0.26,?,?,0.29,49.81,24.81,2.25,0.21,?,75.26,?,351.67,?,?,0.11,3.31,?,?,2.16,?,2.16,?,2610.0,0.0,26.62,78.0,?,1300.0,854.4,404.91,?,3.21,?,66.36,7.6,?,?,0.0,0
115.0,?,1693.78,?,32.0,34.95,9.73,?,0.28,110.4,?,0.33,0.51,?,?,39.59,16.3,?,?,0.31,?,0.46,?,0.18,?,?,2.96,?,?,?,0.0,2.16,32.0,?,0.01,?,?,55.0,?,360.56,?,96.63,?,?,?,7.98,?,?,?,0
116.0,?,1789.13,?,90.0,?,7.29,1540.0,?,113.6,?,?,0.7,0.19,0.51,?,18.52,2.18,0.19,?,75.26,0.5,?,?,9.24,?,?,-2.89,-0.4,?,?,?,?,?,?,13.55,78.0,?,500.0,?,?,146.15,?,6685.57,66.08,?,?,0.0,?,0
117.0,94.0,1592.45,?,?,?,?,3700.0,0.18,?,0.22,?,?,?,?,41.37,?,2.04,?,0.27,?,?,?,0.18,?,?,3.32,?,-0.41,?,?,?,?,2610.0,0.01,58.26,?,?,1030.78,?,?,115.54,4.84,3937.73,?,7.71,?,0.0,?,0
118.0,96.0,920.2,640.12,?,?,?,2370.0,?,101.3,0.26,?,0.54,0.21,?,?,12.55,1.82,?,0.31,?,?,?,0.18,?,?,3.2,?,?,2.18,?,?,?,?,?,?,?,55.0,?,?,?,84.35,4.6,27836.68,65.77,7.29,?,0.0,0.0,1
119.0,?,?,1047.93,47.0,?,8.97,?,0.26,107.6,?,0.35,0.65,?,0.53,?,13.18,?,0.25,?,?,?,351.67,0.18,?,?,2.92,-2.91,-0.45,?,?,?,?,3150.0,?,46.67,78.0,55.0,1133.58,813.94,?,176.97,2.49,?,66.07,7.99,540000,0.0,0.0,0
120.0,115.0,1127.05,?,39.0,?,?,2470.0,0.16,116.4,0.17,0.2,?,?,?,97.88,42.39,?,?,?,75.26,?,351.67,0.18,?,?,?,-3.66,-0.41,?,?,?,?,?,0.01,?,78.0,55.0,960.47,430.12,?,119.95,4.14,5150.19,?,7.29,?,0.0,0.0,0
121.0,?,1752.89,?,?,?,7.68,?,?,?,?,0.23,0.43,0.1,?,?,?,1.98,0.16,?,75.26,?,?,0.18,?,?,?,-3.34,-0.56,2.17,0.0,2.17,?,1800.0,0.01,33.05,?,?,?,500.0,?,?,?,?,66.1,8.11,?,?,?,0
?,?,?,?,61.0,?,?,?,0.28,213.0,0.21,?,0.62,0.14,0.48,85.22,?,1.83,?,?,75.26,0.42,?,0.18,?,?,?,-3.12,?,2.16,?,2.16,53.0,?,0.0,?,78.0,?,?,1097.72,800.95,196.94,?,7420.55,?,?,1035000,?,?,0
123.0,72.0,?,1110.06,99.0,?,?,?,?,?,0.16,?,?,?,0.35,99.02,43.0,2.11,?,?,?,?,351.67,?,?,?,?,-3.07,-0.5,?,0.0,?,16.0,990.0,?,17.21,?,55.0,559.02,304.14,?,72.16,2.3,4456.55,66.1,?,180000,?,?,0
124.0,?,1697.23,?,28.0,37.0,7.42,2180.0,?,71.1,?,0.31,?,?,0.34,?,12.7,2.14,?,?,?,0.49,351.67,?,?,?,?,-3.48,?,?,0.0,?,20.0,1440.0,0.01,30.66,78.0,55.0,670.82,?,117.61,100.69,5.7,4148.59,66.22,?,?,?,0.0,0
125.0,?,1439.18,?,149.0,37.14,?,3990.0,0.28,?,0.23,?,?,?,0.35,?,?,2.15,0.22,0.28,75.26,?,351.67,0.18,?,0.95,3.05,-3.2,?,?,?,2.17,47.0,?,0.01,38.13,?,?,1253.0,471.7,251.73,107.11,?,5080.12,66.13,?,?,0.0,?,0
126.0,107.0,1733.3,978.29,?,?,?,2100.0,?,127.4,0.25,?,0.84,?,0.74,138.2,?,1.87,0.16,?,75.26,0.43,?,0.18,9.24,1.3,?,?,?,?,?,?,?,?,0.01,?,?,?,721.11,500.0,?,136.85,2.45,6122.58,66.05,8.13,267500,0.0,?,0
127.0,?,?,?,?,?,?,?,?,?,?,?,?,0.2,?,?,?,2.07,?,?,?,?,?,?,9.24,-0.66,3.26,?,-0.44,?,?,2.16,?,?,?,26.46,?,?,782.62,206.16,?,53.27,6.62,6772.03,66.22,?,?,?,0.0,0
?,136.0,?,?,?,35.07,?,?,0.24,?,?,?,?,0.24,?,68.05,?,2.02,0.24,?,?,?,?,?,9.24,?,?,-3.04,-0.37,?,0.0,2.16,?,2340.0,?,36.24,78.0,?,1044.03,?,?,?,3.59,?,?,7.75,340000,?,?,0
?,?,1623.44,?,?,?,7.64,4620.0,?,?,?,?,0.59,0.19,0.4,?,?,?,0.23,?,?,0.46,351.67,?,?,?,?,-2.97,-0.44,?,0.0,?,58.0,3600.0,0.01,51.12,?,?,?,?,?,67.12,?,3551.66,66.18,7.9,?,0.0,?,0
?,177.0,1621.06,?,?,35.71,?,4430.0,?,99.9,?,?,?,0.12,0.35,97.66,?,2.06,0.16,0.22,?,0.47,351.67,0.18,9.24,?,2.64,?,?,?,0.0,?,47.0,2790.0,?,?,?,55.0,1234.91,?,310.85,108.72,?,4330.56,?,7.95,?,?,0.0,0
131.0,?,1702.82,?,153.0,36.24,11.1,1800.0,0.31,?,?,0.36,0.49,?,?,16.76,?,2.09,0.28,0.36,75.26,0.48,351.67,0.18,?,2.09,9.09,-3.45,?,?,?,2.16,19.0,1080.0,?,?,?,?,738.24,?,110.38,?,?,4348.41,66.4,7.84,?,?,?,0
?,62.0,?,1255.73,97.0,?,?,1490.0,?,104.0,0.29,0.39,0.62,0.23,?,41.7,16.0,1.95,?,0.31,75.26,?,351.67,0.18,?,?,?,?,?,?,?,?,?,?,0.01,?,78.0,55.0,?,?,?,?,?,?,66.17,?,155000,0.0,0.0,0
?,50.0,1687.6,1498.74,?,?,7.3,?,?,?,?,0.32,0.58,?,?,?,?,?,0.24,?,?,?,?,0.18,9.24,?,?,-3.37,?,?,?,2.16,29.0,?,0.01,31.36,78.0,55.0,?,304.14,?,?,?,3423.55,?,?,?,0.0,0.0,0
134.0,54.0,1766.35,784.69,108.0,36.06,?,?,0.15,74.2,0.22,0.29,0.47,?,0.27,42.81,?,2.08,?,0.27,?,?,?,0.18,?,0.34,2.47,?,?,2.18,?,2.18,?,1170.0,?,?,78.0,?,?,474.34,191.58,173.08,2.48,13112.94,65.96,8.23,?,0.0,0.0,0
136.0,?,1750.3,?,159.0,?,?,2660.0,?,?,0.21,?,0.41,0.1,?,?,?,?,?,0.24,?,?,?,?,?,?,2.71,-3.34,?,?,?,?,?,1710.0,?,33.69,78.0,55.0,?,?,?,?,4.73,?,?,7.96,?,?,0.0,0
?,?,111.84,?,168.0,?,?,1680.0,?,75.9,?,?,0.12,?,0.09,?,?,2.57,?,?,75.26,0.59,351.67,0.18,9.24,0.02,2.74,-1.78,?,2.16,?,?,?,?,0.01,?,78.0,?,509.9,?,?,?,3.73,27403.81,66.16,5.98,?,0.0,0.0,0
138.0,?,1658.12,1269.91,164.0,?,9.29,1940.0,0.29,88.9,0.3,0.39,0.6,0.27,0.33,14.35,7.25,1.85,0.32,0.39,?,?,?,0.18,9.24,-0.67,?,-3.19,?,?,?,?,?,1260.0,0.01,?,78.0,55.0,824.62,316.23,?,?,?,?,66.18,?,?,0.0,?,0
139.0,?,1646.05,?,55.0,?,?,?,?,?,0.3,0.43,0.66,0.18,0.49,?,?,1.83,0.24,0.41,?,0.42,?,0.18,?,?,?,-2.86,?,1.93,?,?,23.0,1260.0,0.01,24.18,78.0,55.0,721.11,223.61,117.88,52.88,?,?,?,?,?,0.0,0.0,0
?,?,1588.9,?,75.0,?,6.8,?,?,86.8,?,?,?,?,?,37.08,?,2.02,0.21,?,?,?,?,?,?,-0.04,?,-2.88,?,2.17,?,?,34.0,?,?,32.82,78.0,?,921.95,?,179.59,?,?,?,?,7.92,247500,?,?,0
?,51.0,?,?,?,?,?,?,?,?,?,0.14,?,0.06,0.15,449.37,?,2.43,?,?,75.26,?,?,0.18,9.24,?,?,-2.05,?,?,?,1.94,24.0,1350.0,0.01,?,?,55.0,640.31,360.56,?,?,5.41,?,?,6.82,127500,?,?,0
142.0,192.0,1663.45,?,55.0,?,8.63,?,0.23,?,0.23,0.28,?,?,0.45,?,24.67,?,0.21,0.26,?,?,?,?,?,?,5.53,-3.08,-0.4,?,?,2.17,61.0,3780.0,0.01,50.43,78.0,55.0,1400.89,?,283.17,?,?,?,66.07,?,?,0.0,0.0,0
143.0,69.0,1729.68,?,62.0,?,4.84,1840.0,?,93.8,?,0.25,?,0.15,0.26,85.09,?,?,0.16,?,?,0.42,?,0.18,9.24,?,?,?,?,2.16,?,?,22.0,?,?,19.63,78.0,?,?,?,202.47,?,2.54,4043.78,?,?,172500,?,0.0,0
?,?,?,?,?,42.4,6.44,?,?,?,?,0.16,0.23,?,0.16,?,51.59,2.45,?,?,?,?,351.67,?,9.24,0.17,?,?,-0.38,?,?,?,?,4950.0,0.01,50.73,?,?,?,?,500.16,176.49,?,?,?,7.12,?,?,?,0
145.0,?,?,?,155.0,?,9.4,2650.0,?,86.8,?,0.31,?,0.13,0.4,?,17.01,?,?,0.3,75.26,0.49,?,?,9.24,?,?,?,?,2.16,?,?,?,2070.0,0.01,30.53,78.0,?,1096.59,269.26,?,?,?,4818.78,66.42,?,?,?,?,0
146.0,?,773.39,?,?,?,5.08,2110.0,0.13,88.9,?,?,?,0.13,?,90.65,?,2.32,?,?,?,0.53,351.67,?,9.24,0.94,?,-2.18,?,1.93,0.0,1.93,?,1260.0,?,?,?,?,?,304.14,?,57.5,3.4,11235.17,?,6.77,?,?,0.0,0
147.0,69.0,1315.32,1348.94,?,?,?,?,?,?,0.16,0.18,?,0.13,?,76.68,?,2.28,?,?,75.26,?,351.67,?,9.24,?,?,-3.01,-0.49,?,0.0,2.17,?,?,?,?,?,?,806.23,?,?,?,5.16,6160.31,?,7.5,?,?,?,0
?,71.0,1691.1,?,?,?,6.97,2860.0,0.2,62.1,0.29,0.37,?,?,0.38,40.63,9.4,1.97,0.26,?,75.26,?,?,0.18,?,0.51,4.39,-3.44,?,?,0.0,?,31.0,?,?,46.08,78.0,55.0,763.22,?,144.73,?,?,?,?,7.84,177500,?,0.0,0
?,?,1175.38,?,153.0,?,?,5080.0,?,132.4,?,0.26,?,?,0.47,218.44,26.82,2.07,0.2,0.25,?,?,351.67,?,?,?,?,-2.65,?,?,?,?,56.0,3330.0,0.0,?,78.0,?,1632.48,?,354.21,?,?,?,66.16,7.34,672500,?,0.0,0
150.0,?,1531.03,?,158.0,?,?,3620.0,0.23,82.2,?,?,0.46,?,?,67.16,22.27,2.19,0.18,?,?,?,?,0.18,?,0.68,3.93,?,-0.42,?,0.0,?,?,3060.0,0.01,44.05,78.0,?,474.34,696.42,396.49,186.31,?,4759.79,66.41,7.61,?,?,?,0
?,?,1594.45,1528.04,?,29.68,?,?,0.17,78.9,0.24,0.31,0.49,?,?,45.87,15.71,?,?,0.29,75.26,0.39,?,0.18,9.24,0.11,7.05,?,-0.45,?,0.0,?,21.0,?,?,?,78.0,55.0,640.31,212.13,?,61.91,?,?,66.3,?,?,?,?,0
152.0,?,1611.15,1283.63,176.0,32.69,?,1900.0,0.25,?,0.28,?,?,0.27,?,40.81,?,1.89,?,0.35,?,?,351.67,?,?,0.9,6.86,?,?,?,0.0,?,?,?,0.01,?,?,55.0,?,500.0,260.0,117.38,1.92,?,?,7.88,?,0.0,0.0,0
153.0,65.0,1010.06,?,85.0,37.26,8.69,?,?,?,0.18,0.22,?,0.12,?,74.24,24.96,2.15,?,?,75.26,0.5,351.67,0.18,?,?,?,-3.76,-0.13,?,?,?,?,1530.0,0.01,34.86,?,55.0,855.86,200.0,?,?,?,?,?,?,?,?,0.0,0
154.0,?,1524.24,1228.76,174.0,?,?,2230.0,0.2,?,0.24,0.37,?,?,0.62,?,?,2.23,?,?,?,?,?,?,?,?,4.32,?,?,?,?,?,29.0,?,0.01,31.57,78.0,55.0,905.54,353.55,?,?,?,?,66.14,7.79,?,?,0.0,0
155.0,81.0,?,?,171.0,45.02,?,?,?,?,?,?,?,?,0.07,?,?,2.6,?,?,75.26,0.6,351.67,0.18,?,?,2.71,?,-0.4,?,0.0,?,?,1980.0,?,?,78.0,?,?,460.98,?,?,?,27288.37,?,?,?,0.0,?,0
156.0,?,?,?,?,32.24,?,?,?,?,0.32,0.4,0.6,0.27,0.33,?,7.88,1.86,0.3,0.38,?,?,?,0.18,?,-0.14,2.32,?,?,?,?,?,?,?,?,39.02,78.0,55.0,509.9,?,366.55,169.6,?,?,66.38,7.86,?,?,0.0,0
157.0,97.0,?,?,177.0,32.96,?,?,?,?,?,?,?,?,?,?,?,1.9,0.18,?,75.26,?,351.67,?,?,?,3.26,-3.11,?,2.16,0.0,?,?,1890.0,?,?,78.0,?,?,?,?,?,?,3437.2,66.29,?,242500,0.0,?,0
?,?,1706.17,?,?,?,9.15,?,0.27,?,?,0.39,?,?,?,?,7.73,1.96,0.3,0.37,?,?,?,?,9.24,?,2.42,-3.41,-0.25,?,?,?,?,?,0.01,35.0,78.0,?,?,?,?,?,6.25,4181.97,?,7.98,?,?,0.0,0
159.0,?,1487.21,?,72.0,?,12.3,2080.0,0.33,?,0.33,0.41,?,?,0.66,50.45,?,2.13,0.29,0.38,75.26,0.49,?,?,9.24,?,?,?,?,2.17,?,?,27.0,?,0.01,22.47,?,55.0,?,?,?,129.12,?,?,?,?,?,?,0.0,0
160.0,60.0,1672.73,?,?,?,6.59,?,0.2,?,?,0.38,0.65,0.17,0.48,36.76,?,1.91,?,0.35,75.26,?,351.67,0.18,?,?,?,?,-0.45,?,0.0,?,?,?,?,?,?,55.0,651.92,360.56,203.61,129.99,3.2,?,66.27,7.89,?,0.0,0.0,0
161.0,?,1696.45,?,109.0,34.34,6.36,?,0.18,?,0.29,?,0.55,0.2,?,?,?,1.98,0.25,0.35,?,?,351.67,0.18,?,?,2.73,-3.5,-0.38,?,0.0,1.94,19.0,?,?,?,?,55.0,632.46,?,153.56,?,4.12,?,66.09,?,?,?,0.0,0
163.0,53.0,?,?,53.0,?,7.36,?,0.19,?,0.19,?,?,?,?,?,25.21,?,?,0.21,?,0.52,351.67,0.18,9.24,0.84,4.03,?,-0.26,1.93,0.0,1.93,?,?,?,25.83,78.0,55.0,610.33,360.56,156.19,?,3.91,12290.67,?,6.76,?,0.0,0.0,0
164.0,?,1707.53,?,?,39.82,9.64,2540.0,0.24,?,0.28,?,0.43,0.2,?,30.45,16.43,2.3,?,0.28,?,?,351.67,0.18,?,?,3.93,-3.41,-0.34,?,?,?,?,1620.0,0.01,?,?,?,?,?,?,105.09,?,4006.73,?,?,?,0.0,?,0
165.0,?,1390.14,904.77,114.0,42.34,?,?,?,?,?,?,0.2,?,?,132.35,?,2.45,?,?,75.26,0.56,351.67,?,9.24,0.51,?,?,?,?,?,2.18,?,2160.0,0.01,?,?,55.0,?,?,?,81.8,3.58,?,?,?,?,?,0.0,0
166.0,99.0,?,1232.37,146.0,?,8.16,2910.0,0.22,85.1,?,0.26,?,0.11,0.37,64.4,22.04,2.12,?,?,75.26,?,351.67,?,9.24,?,2.78,?,?,1.94,0.0,?,?,1980.0,0.01,34.21,78.0,55.0,651.92,430.12,?,?,?,4056.61,66.17,?,?,0.0,0.0,0
168.0,160.0,?,?,?,?,9.99,?,0.32,?,?,?,0.55,?,?,21.99,12.51,1.82,0.27,?,75.26,?,351.67,0.18,?,0.03,2.83,-2.78,?,?,0.0,?,41.0,2610.0,?,34.6,?,55.0,939.41,761.58,?,246.06,2.68,?,?,?,"4,00E+05",?,0.0,0
169.0,54.0,1165.19,?,135.0,?,?,1940.0,?,?,0.19,0.22,?,?,?,56.34,26.5,2.3,0.18,0.21,?,?,351.67,0.18,?,?,2.48,-2.57,?,?,0.0,?,23.0,1440.0,0.01,?,?,55.0,?,282.84,96.42,?,?,?,?,7.3,135000,?,?,0
?,?,1547.69,?,33.0,?,?,1750.0,?,?,0.29,?,?,0.21,?,?,?,2.08,0.26,?,?,0.48,?,0.18,?,0.11,?,?,?,?,?,?,?,1350.0,0.01,21.12,78.0,55.0,?,?,124.35,?,?,?,66.39,?,145000,?,0.0,0
