A2;A3;A4;A5;A6;A7;A10;A12;A13;A14;A1;A8;A9;A11;binaryClass
165;199;?;?;4;?;10;2;?;133;?;?;?;?;1
325;55;?;?;1;?;?;?;1;11;0;0;1;0;0
332;47;2;11;4;4;?;?;?;1;1;1;?;?;1
340;?;2;1;?;?;12;?;?;171;0;?;?;1;1
148;?;?;3;?;?;11;?;43;27;?;?;1;?;0
?;?;2;?;8;?;?;?;114;1;?;1;?;1;1
?;169;?;?;8;65;1;?;?;17;0;?;0;1;0
44;141;2;8;?;41;?;2;?;?;1;?;1;?;1
285;130;2;?;?;?;?;?;1;138;?;?;1;0;1
79;?;?;11;?;55;?;2;?;122;1;?;1;1;1
172;192;1;1;1;?;3;?;53;2;?;?;1;?;0
?;?;1;13;4;?;?;?;?;1;1;?;?;0;0
?;?;?;?;?;61;7;2;?;?;?;?;1;?;0
12;?;?;4;?;8;?;1;69;?;1;?;0;?;0
51;?;2;8;?;5;1;?;?;?;0;?;0;?;0
334;200;2;?;?;?;?;2;4;229;?;1;0;?;1
?;?;?;?;4;110;?;?;1;1;1;1;?;0;0
?;?;?;?;8;73;?;2;?;?;?;?;?;?;1
?;?;2;?;?;7;1;2;?;?;?;?;0;0;0
47;?;?;8;4;1;?;3;65;?;1;0;0;0;0
?;?;?;1;1;?;?;2;?;2;?;?;?;?;0
?;?;2;11;4;82;1;?;?;1;?;?;0;0;1
114;52;?;8;?;26;6;2;53;?;1;?;1;?;1
?;124;2;?;?;124;?;?;?;167;?;1;1;?;1
316;169;2;?;?;?;6;?;?;226;?;?;?;?;1
?;151;2;?;?;?;12;?;1;163;?;1;?;?;1
?;17;2;7;4;?;?;?;99;?;?;1;?;?;0
?;?;?;6;?;47;?;?;?;120;?;1;?;?;1
?;?;2;13;?;?;9;2;?;?;?;?;?;?;1
302;56;1;?;1;?;1;2;38;2;1;0;?;?;0
?;?;?;?;4;81;?;2;?;1;0;?;?;?;0
?;26;?;8;4;2;1;?;86;?;1;0;0;?;0
?;?;?;13;4;?;1;2;102;35;0;0;?;0;1
?;26;?;8;?;7;?;2;113;?;?;?;?;0;1
135;34;?;8;?;58;6;2;102;172;0;1;?;?;1
?;?;?;?;?;115;?;?;?;1;?;0;?;1;1
47;?;?;?;4;40;?;2;?;?;1;?;1;?;1
17;209;?;?;?;1;1;3;?;?;?;?;?;1;1
?;122;1;?;4;2;1;2;?;?;?;?;0;0;0
?;?;?;?;?;58;?;?;133;195;?;?;?;1;1
324;136;2;?;8;?;4;?;?;1;?;1;?;0;1
?;87;?;?;?;43;?;2;?;?;1;?;1;?;1
36;?;?;?;?;26;?;2;?;?;?;?;0;1;1
?;172;2;?;?;3;1;2;?;6;?;?;0;?;0
18;?;2;?;8;?;?;2;?;?;1;?;?;0;0
?;?;?;9;4;65;?;?;?;1;1;0;0;0;0
?;82;?;?;4;?;?;2;?;1;?;?;?;?;0
57;?;?;?;?;?;?;?;?;?;1;?;0;1;0
?;?;?;8;8;28;1;?;?;?;1;?;?;0;0
?;?;?;9;4;20;1;?;102;42;1;?;?;?;0
272;160;2;11;4;85;8;?;?;1;0;1;?;1;1
73;?;2;3;4;11;1;2;?;1;1;0;?;0;0
?;82;?;?;4;?;1;?;?;?;0;1;?;1;0
47;?;?;?;4;37;2;2;53;?;0;1;?;0;1
55;?;2;?;5;14;?;1;24;1;0;?;1;0;1
114;?;2;?;4;?;?;?;38;?;1;?;1;1;1
121;50;?;1;1;?;1;?;?;?;?;?;?;0;0
?;?;2;?;?;?;?;2;152;228;?;1;1;?;1
?;?;?;9;?;26;?;2;?;2;0;?;1;?;0
133;?;?;?;?;26;?;?;56;?;0;?;1;?;0
58;?;?;6;4;58;4;2;?;146;?;1;1;?;1
62;?;?;14;4;?;?;2;?;?;?;1;?;?;1
?;?;?;?;4;4;1;2;117;?;?;0;?;0;0
175;139;1;?;8;?;?;?;?;1;?;1;?;1;1
?;33;2;11;4;?;?;?;93;?;?;0;0;1;0
?;?;?;1;1;4;?;?;?;?;?;?;0;0;0
?;18;2;8;4;43;?;2;?;?;0;?;?;1;0
?;?;1;?;4;?;1;2;98;?;?;0;?;1;0
?;?;?;11;?;20;?;1;?;1;0;?;0;?;0
?;35;2;7;?;?;?;?;?;1;1;0;0;?;0
143;44;2;?;8;20;?;2;86;50;1;1;1;0;1
?;?;2;6;4;104;?;?;?;?;?;1;?;?;0
49;?;?;?;?;49;?;?;77;?;?;?;?;?;1
186;70;2;3;5;1;?;?;63;1;1;0;?;?;0
?;?;2;8;?;?;?;2;?;?;?;?;0;1;1
?;175;2;?;?;?;9;?;1;?;?;?;?;0;1
?;?;?;13;8;?;?;2;?;94;?;?;?;0;1
72;?;2;3;4;3;?;2;?;1;0;0;0;?;0
?;194;?;?;5;?;1;?;?;?;?;0;?;1;0
264;55;2;7;?;43;3;?;1;16;1;1;1;?;1
?;36;1;?;4;?;1;2;58;?;1;0;?;0;0
?;?;?;?;8;?;8;?;?;?;1;?;?;1;0
?;?;?;?;?;2;1;?;?;?;1;?;0;?;0
292;62;2;1;1;?;1;?;69;4;?;0;?;?;0
75;?;?;7;?;3;?;1;?;?;1;0;0;?;0
?;?;1;3;8;14;1;?;?;1;?;?;0;?;0
266;164;1;2;4;?;1;1;1;1;?;1;0;0;0
331;70;2;?;4;?;6;2;18;39;1;1;?;?;1
?;?;?;7;?;7;?;?;92;?;1;1;1;?;1
?;?;2;?;4;18;1;2;?;84;?;0;?;?;0
294;204;2;1;?;?;2;2;?;1;?;?;?;?;0
?;?;1;?;?;?;1;?;107;1;0;1;?;0;0
?;87;1;3;?;26;?;2;117;150;1;?;0;?;0
90;64;1;8;?;1;1;2;38;?;0;?;0;0;0
?;46;?;8;?;?;1;?;?;?;1;?;0;?;1
?;139;2;?;1;?;2;?;20;7;?;0;?;0;0
?;11;?;8;?;?;?;?;1;233;1;?;1;?;1
182;66;1;?;?;?;1;?;?;3;0;0;?;1;0
?;73;?;11;8;?;?;?;?;1;?;1;1;?;1
?;21;?;?;4;4;?;2;?;?;1;1;0;0;0
?;66;2;13;5;14;?;2;112;1;1;0;?;?;0
320;203;2;?;5;?;18;?;?;1;1;1;?;?;1
265;?;2;?;?;?;?;2;?;1;?;1;?;1;1
267;1;?;8;?;?;?;?;1;1;0;1;0;?;1
?;?;2;?;?;?;?;2;?;?;1;1;?;1;0
?;96;2;?;8;?;1;?;86;1;?;0;?;1;0
?;69;1;?;?;?;1;?;?;1;?;0;0;?;0
?;?;?;?;8;5;?;?;?;?;1;?;0;?;0
37;?;?;7;4;2;2;2;?;2;?;0;1;0;0
?;33;2;3;5;52;?;2;1;94;0;1;0;?;1
82;46;2;9;?;?;1;?;?;?;?;0;?;1;0
?;?;2;?;?;33;9;?;?;203;1;?;1;?;1
20;?;?;14;8;26;12;?;?;200;0;?;1;0;1
?;61;1;?;4;73;?;?;?;63;0;0;0;?;0
?;123;2;6;?;?;?;?;1;1;?;0;?;?;0
?;?;?;?;4;32;?;2;?;1;?;?;1;0;0
242;46;2;?;5;?;?;1;102;?;?;0;?;?;0
?;?;?;13;?;4;?;2;?;2;1;?;0;0;0
?;180;2;?;?;?;1;?;6;182;?;?;?;?;1
?;74;?;14;8;?;?;2;?;?;0;1;1;0;1
?;87;?;?;4;58;1;2;?;1;?;1;?;1;1
?;30;?;8;?;7;?;2;98;?;?;?;0;0;0
190;140;?;8;4;81;13;?;1;?;1;1;1;1;1
263;213;2;?;8;?;2;?;?;47;?;1;?;0;0
?;115;2;4;4;26;1;2;1;?;0;?;0;?;1
?;56;?;9;4;?;1;?;131;219;1;1;?;?;1
?;56;1;?;?;?;?;2;?;?;1;?;?;?;0
216;68;2;?;?;?;1;?;?;?;1;0;?;?;0
?;?;2;?;?;101;17;?;?;?;1;?;?;0;1
206;?;2;1;?;1;1;?;1;?;1;?;?;?;0
?;?;?;8;?;47;12;2;69;200;?;?;1;?;1
?;113;2;?;4;?;1;?;147;?;?;0;?;?;0
64;?;1;3;5;5;?;2;?;?;?;0;?;1;0
48;?;1;?;4;58;?;1;?;1;?;?;0;0;1
198;66;2;9;?;?;1;?;85;?;1;?;0;?;1
86;30;?;?;4;?;5;2;90;179;?;0;1;?;0
216;119;2;?;8;?;13;?;28;1;1;1;1;1;1
50;145;?;?;4;2;?;2;?;?;?;?;0;?;0
213;?;2;?;8;113;1;?;33;?;?;1;0;?;1
71;?;2;14;?;?;10;2;?;?;?;?;1;0;1
?;187;?;?;?;85;3;2;?;?;0;?;1;0;1
?;16;2;13;8;?;12;?;?;7;?;1;?;?;1
304;1;1;1;?;?;1;?;1;1;0;0;0;?;0
?;66;1;?;8;115;?;?;69;?;?;0;?;?;0
231;49;2;?;?;37;11;2;?;212;?;1;1;0;1
?;56;?;9;4;7;1;2;63;?;?;0;0;?;0
35;?;?;?;?;?;1;2;?;189;1;?;0;0;1
?;92;2;?;?;?;17;?;?;160;1;?;1;0;1
210;26;1;2;4;?;1;?;86;4;1;?;?;?;0
?;10;?;3;?;1;?;?;?;1;1;1;?;?;1
?;51;?;7;4;?;?;1;131;1;?;0;?;?;0
252;15;2;8;?;6;7;2;77;147;1;?;1;?;1
56;?;?;?;?;35;?;2;24;?;1;?;1;?;1
?;40;2;8;?;1;?;2;?;?;0;0;?;0;0
123;?;?;?;4;?;2;?;98;11;?;0;1;1;0
?;?;1;13;?;18;?;2;?;?;?;?;0;0;0
?;?;?;?;4;84;?;2;?;8;?;?;1;?;1
?;?;2;?;?;14;1;?;162;?;?;0;?;?;0
27;?;?;11;4;?;5;2;?;?;0;?;1;0;1
79;?;2;?;?;?;?;2;?;?;0;?;1;?;1
?;53;?;?;?;15;?;2;?;2;1;0;0;1;0
131;102;2;?;?;?;?;2;?;?;1;1;?;1;1
103;?;?;6;4;?;1;?;?;?;1;?;0;0;0
?;?;2;?;4;56;1;2;?;?;?;1;?;1;0
75;?;?;?;?;5;?;2;53;?;?;?;0;?;0
90;?;1;?;?;14;4;?;?;?;0;?;?;0;0
?;?;?;7;?;26;?;2;?;2;1;?;0;?;0
?;52;1;10;?;2;?;?;127;?;?;1;0;?;1
284;85;2;?;5;?;1;?;32;3;?;?;?;?;0
?;82;2;9;4;?;1;1;98;1;?;1;0;?;1
100;18;?;9;?;5;?;2;95;?;?;0;1;?;0
29;?;?;1;1;11;?;2;?;?;1;0;?;?;0
?;38;?;?;4;58;?;2;63;?;1;?;1;?;0
91;?;?;8;4;7;1;2;35;1;?;?;?;0;0
10;?;2;3;8;11;?;2;38;?;?;?;0;?;0
115;?;2;?;?;?;?;2;24;1;1;?;0;1;0
?;82;?;?;4;?;?;?;82;1;?;1;?;0;1
82;70;?;?;1;?;?;2;53;25;1;0;0;?;0
?;56;?;?;8;?;21;?;145;162;?;?;?;?;1
?;212;?;?;?;?;?;?;?;?;?;1;?;?;1
84;?;2;8;?;49;1;?;?;?;1;?;?;0;0
30;?;?;11;4;10;3;2;?;?;?;?;1;0;0
151;?;2;2;?;?;?;1;88;1;?;0;0;?;0
41;?;?;?;?;22;?;2;45;?;0;?;1;1;0
?;?;2;13;4;?;?;?;32;?;1;?;?;0;0
136;?;?;8;?;?;1;?;?;81;1;1;?;?;0
135;?;?;?;8;94;?;?;?;71;1;1;?;?;1
?;33;?;11;4;43;?;2;98;1;?;1;0;1;1
82;77;?;4;4;11;?;?;98;?;1;?;1;?;0
111;?;?;?;?;1;1;2;45;156;1;0;0;?;0
311;122;?;?;?;?;12;?;1;92;?;1;?;?;1
?;?;?;2;4;?;?;?;168;?;?;?;?;?;0
98;?;2;?;4;26;1;?;63;?;?;?;0;1;0
181;77;1;?;4;69;?;?;?;1;1;1;1;1;1
235;49;?;8;?;37;?;2;?;96;1;?;0;0;0
19;?;1;5;?;1;1;?;?;?;0;?;0;0;0
85;22;?;8;4;5;?;2;32;?;?;?;0;0;1
114;69;?;13;?;90;?;2;?;1;1;?;1;0;1
70;?;?;3;?;9;1;1;?;1;0;0;0;1;0
?;18;?;?;?;14;4;?;69;?;1;?;1;?;1
108;138;2;?;4;?;1;2;?;66;0;1;0;?;1
?;1;?;2;?;14;?;?;47;?;1;0;0;?;0
?;87;?;3;4;3;1;?;134;1;?;0;?;1;0
?;95;1;8;?;58;1;2;?;160;?;?;0;?;0
94;?;?;1;1;?;?;?;?;?;0;?;?;0;0
?;46;?;8;?;7;1;2;?;?;?;?;0;?;0
19;?;2;?;?;7;?;1;?;1;1;0;0;0;0
220;?;2;11;?;?;1;?;?;1;0;?;?;?;1
72;67;?;8;8;?;?;2;?;1;1;1;0;0;1
?;?;?;?;1;1;1;?;?;?;0;0;?;0;0
?;?;?;11;8;?;1;?;?;?;?;?;?;1;1
?;?;?;8;8;?;?;?;151;?;0;1;?;1;1
?;?;1;?;8;?;1;?;?;18;?;0;?;1;0
73;117;?;?;4;5;1;2;77;150;0;?;0;?;0
?;?;2;7;4;?;?;1;?;?;?;?;0;1;0
103;?;?;?;?;37;?;?;53;?;?;0;?;1;0
289;?;1;4;?;?;12;?;124;197;1;?;?;0;1
?;1;2;8;?;14;?;1;?;1;1;?;0;?;0
201;200;1;?;?;?;?;?;?;1;1;?;?;0;0
?;170;?;?;?;2;1;?;24;169;?;?;?;?;1
285;42;2;3;?;?;1;?;1;57;?;0;0;0;0
260;?;1;13;?;?;?;?;32;105;?;1;?;?;1
163;?;2;?;?;?;?;?;?;1;?;1;0;0;1
?;14;?;8;?;4;?;?;1;?;1;0;0;0;0
?;?;?;?;4;3;1;2;32;1;?;?;0;?;1
?;?;2;14;8;67;2;?;?;12;?;?;?;0;1
?;2;?;?;4;?;?;?;159;1;?;0;?;?;1
