CRIM;ZN;INDUS;NOX;RM;AGE;DIS;RAD;TAX;PTRATIO;B;LSTAT;CHAS;binaryClass
?;0;18.1;0.668;?;100;11.742;24;?;?;396.9;34.77;?;1
?;?;?;0.668;?;100;?;24;?;20.2;?;37.97;0;1
196.091;?;18.1;?;7.313;?;?;?;?;20.2;?;13.44;0;1
?;0;?;0.671;?;?;13.449;24;666;?;?;?;0;1
982.349;?;?;0.671;6.794;?;1.358;?;666;?;396.9;21.24;0;1
?;?;?;0.671;?;96.2;?;?;?;?;?;23.69;0;1
?;0;18.1;?;?;?;13.861;?;666;?;393.74;21.78;0;1
889.762;?;?;0.671;6.968;?;14.165;?;?;20.2;?;?;0;1
?;?;18.1;?;?;99.1;15.192;?;?;?;396.9;21.08;?;1
?;?;18.1;0.7;5.536;100;15.804;24;?;?;?;?;?;1
?;0;18.1;0.7;5.52;100;?;?;?;20.2;?;?;0;1
200.849;?;18.1;0.7;4.368;91.2;14.395;24;666;?;285.83;?;0;1
?;0;?;?;?;?;?;?;?;?;?;?;0;1
?;?;18.1;?;?;100;?;24;666;?;?;?;?;1
?;?;?;?;5;89.5;?;?;666;20.2;396.9;?;0;1
143.337;0;18.1;0.7;?;100;?;24;?;20.2;?;?;?;1
815.174;?;?;?;5.39;98.9;?;24;?;?;396.9;?;?;1
696.215;?;18.1;?;5.713;?;?;?;666;?;394.43;?;?;1
529.305;?;?;0.7;?;82.5;?;24;666;?;378.38;?;0;0
115.779;?;18.1;?;5.036;97;1.77;24;?;20.2;396.9;25.68;?;1
?;0;?;?;?;92.6;?;?;666;?;396.9;?;?;1
?;0;?;0.693;?;?;?;24;666;?;396.9;?;0;1
871.675;?;18.1;?;?;?;?;?;666;20.2;391.98;?;0;1
?;?;18.1;?;?;96;16.768;24;?;?;?;?;?;1
767.202;?;18.1;?;5.747;?;?;24;?;?;393.1;?;0;1
383.518;0;?;?;?;100;?;24;?;20.2;?;?;?;1
991.655;0;18.1;0.693;5.852;?;?;24;666;?;?;?;0;1
250.461;0;?;0.693;5.987;100;?;24;666;20.2;396.9;26.77;?;1
142.362;?;?;?;?;100;15.741;?;666;20.2;?;20.32;0;1
959.571;0;?;0.693;6.404;?;1.639;?;?;20.2;376.11;?;?;1
?;0;?;?;5.349;96;?;?;666;?;396.9;?;?;1
415.292;0;?;?;5.531;?;16.074;?;666;20.2;329.46;?;?;1
679.208;0;18.1;0.693;?;100;?;?;666;20.2;?;22.98;0;1
207.162;0;18.1;?;4.138;100;11.781;24;?;?;370.22;?;0;1
119.511;?;?;?;5.608;100;12.852;?;666;?;332.09;12.13;?;0
740.389;?;18.1;?;?;?;14.547;?;?;20.2;?;26.4;0;1
?;0;?;?;?;100;?;?;?;?;?;?;?;0
?;0;18.1;?;?;100;?;24;?;20.2;?;10.11;?;1
140.507;?;?;?;6.657;100;?;24;666;?;?;21.22;0;1
18.811;?;18.1;?;?;?;?;24;?;?;28.79;34.37;0;1
?;?;18.1;0.597;?;?;?;24;666;?;?;20.08;?;1
?;?;?;0.693;4.519;100;16.582;24;666;?;?;?;?;1
180.846;0;18.1;0.679;6.434;?;?;?;?;?;?;?;?;1
108.342;?;?;0.679;?;?;?;?;666;?;21.57;25.79;0;1
259.406;?;?;?;?;?;?;24;?;20.2;?;26.64;0;1
735.341;0;?;?;?;?;?;?;666;?;?;20.62;0;1
118.123;?;18.1;?;6.824;?;?;24;?;?;48.45;22.74;0;1
?;?;18.1;0.718;?;100;?;24;?;20.2;?;?;0;1
?;?;18.1;?;6.006;?;?;24;?;20.2;?;15.7;0;1
120.482;0;?;?;5.648;87.6;?;?;666;20.2;291.55;?;0;1
705.042;0;?;?;?;?;?;24;?;20.2;?;23.29;?;1
?;?;18.1;0.584;?;70.6;20.635;24;?;?;?;17.16;?;1
?;?;18.1;?;?;?;19.096;?;?;20.2;7.68;?;0;1
?;0;18.1;0.584;5.837;?;19.976;24;666;20.2;?;15.69;0;1
376.619;?;?;?;?;?;?;24;?;20.2;18.82;14.52;0;1
?;?;?;?;6.193;78.1;19.356;24;666;20.2;?;?;0;1
933.889;0;18.1;?;?;?;?;24;?;?;60.72;24.08;0;1
849.213;0;18.1;?;?;?;20.527;24;?;?;?;?;0;1
?;?;18.1;0.584;6.833;94.3;?;?;?;?;?;?;0;1
644.405;0;?;0.584;?;?;22.004;24;?;?;97.95;?;?;1
?;?;?;0.713;?;?;23.158;?;666;20.2;100.19;16.22;0;1
?;0;18.1;0.713;?;?;22.222;?;?;?;100.63;?;?;1
?;0;?;0.74;6.629;94.6;?;?;?;20.2;109.85;23.27;0;1
?;0;?;?;6.461;93.3;?;24;?;20.2;27.49;?;0;1
?;?;?;0.74;6.152;100;?;?;666;?;?;?;?;1
?;?;18.1;0.74;5.935;87.9;18.206;24;666;20.2;?;34.02;0;1
?;?;?;0.74;5.627;93.9;?;?;?;20.2;?;22.88;?;1
?;0;18.1;0.74;5.818;92.4;18.662;24;666;?;391.45;22.11;?;1
?;0;?;0.74;6.406;?;?;24;?;?;385.96;19.52;?;1
566.637;?;18.1;?;6.219;100;?;?;666;20.2;395.69;16.59;0;1
996.654;0;18.1;0.74;6.485;100;?;?;666;20.2;?;18.85;0;1
?;0;18.1;?;5.854;96.6;18.956;?;?;?;240.52;23.79;?;1
106.718;?;?;0.74;6.459;94.8;?;24;?;20.2;?;?;0;1
628.807;?;18.1;?;6.341;?;?;?;?;?;318.01;?;?;1
992.485;?;18.1;0.74;6.251;?;2.198;?;?;20.2;?;16.44;?;1
932.909;?;18.1;?;?;98.7;?;?;666;?;396.9;18.13;0;1
752.601;?;18.1;0.713;?;?;2.185;24;666;?;304.21;19.31;?;1
671.772;0;?;0.713;6.749;?;23.236;24;?;20.2;0.32;?;?;1
?;?;18.1;0.713;?;98.2;23.552;24;666;20.2;355.29;17.73;?;1
509.017;?;18.1;0.713;?;91.8;23.682;24;666;?;385.09;?;?;1
?;0;18.1;0.713;7.393;99.3;24.527;24;?;20.2;?;?;?;1
?;?;18.1;?;?;94.1;24.961;24;?;?;?;?;0;1
475.237;?;18.1;0.713;?;?;24.358;24;666;20.2;50.92;18.13;0;1
?;0;18.1;?;?;87.9;25.806;?;666;?;10.48;?;?;1
820.058;0;18.1;0.713;5.936;?;?;?;?;?;?;16.94;?;1
775.223;0;18.1;?;6.301;83.7;?;24;666;?;?;?;0;1
?;0;18.1;0.713;6.081;84.4;?;?;666;?;396.9;14.7;?;1
481.213;0;18.1;0.713;6.701;90;25.975;?;666;20.2;?;16.42;0;1
369.311;?;18.1;0.713;?;88.4;25.671;24;666;?;391.43;14.65;?;1
?;?;18.1;?;6.317;?;27.344;24;666;20.2;396.9;?;0;1
582.115;?;?;?;6.513;?;28.016;?;?;?;393.82;10.29;0;1
?;0;18.1;?;6.209;65.4;29.634;24;666;20.2;?;13.22;0;1
31.636;?;18.1;0.655;?;?;?;?;666;?;334.4;?;?;1
?;?;?;?;?;?;?;24;?;?;?;?;0;1
?;?;?;?;?;94.5;?;24;?;20.2;?;?;0;1
?;?;18.1;0.58;5.926;71;?;24;?;20.2;368.74;?;?;1
130.751;?;18.1;?;5.713;56.7;?;?;666;?;?;?;?;1
434.879;?;18.1;0.58;?;84;?;?;666;20.2;396.9;?;0;1
403.841;0;18.1;0.532;?;?;?;?;666;?;395.33;12.87;0;1
?;?;18.1;0.58;?;?;?;24;?;20.2;?;?;?;0
?;0;?;0.614;?;67.6;?;24;?;?;374.68;11.66;?;0
?;0;?;?;5.427;?;24.298;24;?;?;352.58;18.14;0;1
639.312;?;?;0.584;?;?;2.206;24;666;?;?;?;0;1
487.141;0;18.1;?;?;?;?;?;666;?;396.21;18.68;0;1
?;?;18.1;0.614;?;97.3;?;?;666;20.2;349.48;?;0;1
10.233;0;18.1;0.614;6.185;96.7;?;?;666;20.2;?;18.03;0;1
?;?;18.1;?;6.229;88;19.512;24;?;20.2;?;13.11;?;1
582.401;0;?;0.532;6.242;?;?;24;666;?;?;10.74;?;0
570.818;?;?;0.532;6.75;?;?;?;666;?;393.07;7.74;0;0
?;0;?;?;7.061;77;34.106;?;666;?;?;?;?;0
?;?;18.1;?;5.762;40.3;40.983;24;666;?;392.92;?;?;1
?;?;18.1;?;5.871;41.9;3.724;?;666;?;370.73;13.34;0;1
?;0;?;0.583;?;?;?;?;?;?;388.62;?;?;1
?;0;?;?;?;79.8;?;24;666;20.2;392.68;?;0;1
483.567;0;18.1;0.583;?;53.2;?;24;666;20.2;388.22;11.45;0;1
0.15086;0;27.74;0.609;5.454;?;?;4;?;?;?;?;0;1
0.18337;?;?;?;5.414;?;?;?;?;20.1;?;?;0;1
?;0;?;?;?;?;18.226;?;711;20.1;318.43;?;0;1
?;0;?;0.609;5.983;98.8;18.681;4;?;20.1;390.11;18.07;?;1
?;0;27.74;?;5.983;83.5;21.099;4;?;20.1;?;?;?;1
0.17331;0;?;0.585;5.707;54;?;6;?;?;?;?;?;1
?;?;9.69;?;?;42.6;23.817;6;?;19.2;396.9;?;0;0
?;0;9.69;0.585;?;?;27.986;6;391;19.2;?;?;?;0
?;?;9.69;0.585;5.39;72.9;27.986;6;?;19.2;?;21.14;0;1
?;?;?;?;?;?;?;?;?;19.2;396.9;14.1;0;1
?;?;?;0.585;6.019;65.3;24.091;6;391;?;?;?;?;1
0.17783;0;?;?;?;73.5;23.999;?;?;?;?;?;?;1
0.22438;0;9.69;?;6.027;?;24.982;?;?;19.2;396.9;14.33;0;1
0.06263;0;11.93;?;6.593;69.1;24.786;?;?;21;391.99;?;?;1
0.04527;?;?;0.573;6.12;76.7;?;?;?;?;396.9;?;0;1
0.06076;?;?;0.573;6.976;?;21.675;?;273;21;?;5.64;0;0
0.10959;0;11.93;0.573;6.794;89.3;?;?;?;21;393.45;6.48;?;1
0.04741;0;11.93;0.573;6.03;80.8;2.505;?;273;21;?;?;0;1
