A2;A3;A4;A5;A6;A7;A10;A12;A13;A14;A1;A8;A9;A11;binaryClass
165;?;?;2;4;?;?;?;87;?;?;1;1;?;1
325;55;2;?;?;99;?;?;?;?;0;0;?;?;0
332;?;?;11;4;4;1;2;?;1;?;1;?;1;1
?;192;2;1;1;1;?;?;?;?;0;1;1;1;1
?;34;?;3;5;?;11;2;?;?;1;?;1;1;0
289;?;2;?;?;?;?;2;114;1;?;?;0;1;1
?;?;1;?;8;?;1;?;?;17;0;?;?;1;0
44;?;?;8;4;?;4;2;11;?;1;1;?;?;1
285;?;?;?;?;127;?;2;?;138;?;?;?;?;1
79;?;2;11;?;?;4;2;1;122;?;1;?;1;1
?;192;1;?;1;?;3;?;?;2;1;0;?;?;0
?;12;1;?;?;?;?;?;?;1;?;0;?;?;0
?;?;?;?;4;?;?;2;72;100;?;?;1;1;0
?;12;1;4;?;8;?;1;69;1;1;?;0;0;0
51;136;2;?;?;5;?;2;?;?;0;0;0;0;0
334;?;?;?;?;?;1;2;?;229;?;1;?;1;1
?;?;1;?;?;?;1;2;?;?;1;?;?;0;0
95;?;?;13;?;?;?;2;131;?;?;1;?;0;1
58;148;2;?;4;?;?;?;45;?;1;?;?;0;0
47;1;2;?;4;1;?;3;?;?;?;0;0;0;0
98;187;1;1;?;47;?;2;69;?;0;?;1;1;0
259;97;?;?;4;82;1;1;1;1;?;1;0;0;1
?;?;?;8;?;?;?;2;53;218;1;?;?;1;1
326;124;?;7;4;124;?;2;?;167;?;?;1;?;1
?;169;2;?;?;85;6;?;?;226;1;?;1;?;1
299;?;2;?;?;?;12;?;1;163;?;1;?;?;1
237;?;?;?;?;?;1;1;99;1;?;1;0;0;0
123;56;?;6;4;?;4;?;?;?;1;?;1;1;1
?;?;?;?;?;68;9;?;?;?;1;?;?;0;1
302;56;?;?;1;37;?;?;38;2;?;0;?;0;0
95;?;1;6;4;?;?;?;38;?;?;?;0;0;0
143;?;1;?;4;?;1;2;?;1;?;?;0;?;0
185;13;2;?;4;?;?;?;?;?;0;0;?;?;1
104;26;?;8;?;?;?;2;?;?;?;1;?;?;1
135;?;?;8;?;?;?;?;102;172;?;1;?;?;1
23;?;3;?;?;115;?;1;?;1;0;0;0;1;1
?;?;?;?;4;?;?;?;69;170;?;?;?;0;1
?;209;?;?;?;?;1;?;143;240;?;?;?;1;1
23;?;?;?;?;?;1;?;?;1;1;0;0;0;0
?;66;2;?;5;58;?;2;133;?;1;?;1;?;1
324;?;2;?;8;101;?;2;1;1;1;1;1;?;1
1;?;1;?;4;?;?;2;?;?;1;1;1;?;1
36;144;?;?;?;26;1;2;18;109;1;?;?;1;1
?;172;2;?;?;3;1;2;107;6;0;?;0;0;0
18;151;?;9;?;5;?;2;38;?;1;0;1;0;0
197;?;1;?;4;?;1;1;69;1;?;?;0;0;0
?;?;2;?;?;?;4;2;108;?;?;?;1;?;0
?;26;?;12;?;?;1;2;?;3;1;?;0;1;0
?;?;2;8;?;?;1;2;107;?;1;?;0;0;0
127;?;?;?;?;?;1;?;102;42;1;0;0;?;0
?;160;2;11;4;?;?;?;1;1;0;?;1;?;1
?;?;2;?;4;?;?;?;1;?;?;0;0;0;0
163;?;2;?;4;?;1;2;?;1;0;?;0;?;0
?;?;?;4;?;?;2;?;?;?;?;?;?;0;1
?;?;?;3;?;?;?;?;?;?;0;1;1;?;1
?;?;2;13;?;?;2;2;?;1;?;?;?;?;1
?;50;2;?;1;?;?;?;111;2;0;?;0;0;0
?;?;?;?;4;85;7;?;?;228;1;?;1;?;1
25;151;2;9;4;?;?;?;38;2;0;0;?;0;0
133;33;2;?;4;?;?;?;?;115;0;1;1;?;0
58;115;2;?;4;?;4;2;?;146;0;1;?;0;1
62;?;?;14;?;8;?;2;?;1;?;1;?;?;1
63;?;2;?;4;4;1;2;?;?;?;0;0;0;0
?;?;?;9;8;?;1;2;?;1;?;1;?;1;1
271;?;?;?;4;4;?;2;?;?;?;0;?;1;0
83;?;1;?;?;4;1;2;?;?;?;?;0;?;0
?;18;2;8;?;43;2;?;24;6;?;0;?;?;0
?;?;?;?;?;101;1;?;?;?;?;0;?;1;0
?;12;?;?;?;20;1;1;53;?;0;?;?;?;0
?;?;2;?;4;?;?;1;7;1;1;?;?;0;0
143;44;2;?;?;?;2;2;86;?;?;1;1;0;1
167;66;2;6;?;?;1;?;?;?;1;1;0;?;0
?;?;2;?;4;?;?;2;77;194;?;?;?;?;1
186;?;?;3;5;?;1;?;63;?;1;0;0;0;0
65;28;2;8;8;51;?;2;?;1;?;0;0;1;1
?;175;?;11;?;?;9;?;1;?;0;?;?;?;1
?;94;?;13;?;97;4;2;105;94;1;?;1;0;1
?;27;?;?;4;?;?;?;47;?;?;?;?;?;0
?;194;2;3;?;?;1;?;?;1;1;0;0;1;0
?;55;2;7;4;?;3;2;?;16;?;1;1;?;1
149;?;1;?;?;?;1;2;58;73;?;0;0;?;0
?;123;?;?;8;118;?;?;102;?;1;?;1;?;0
?;4;1;8;?;2;1;?;?;132;1;?;?;0;0
?;62;?;1;1;?;1;?;69;4;?;0;0;?;0
75;7;?;?;4;?;?;1;?;1;?;0;?;?;0
?;40;1;3;8;14;1;2;?;?;?;?;0;1;0
?;164;?;2;4;37;?;?;?;1;?;?;0;0;0
?;70;?;9;4;43;?;?;?;39;1;1;?;1;1
101;?;?;7;?;?;4;?;92;234;?;1;?;?;1
250;?;?;?;?;18;1;?;86;?;?;0;0;0;0
?;?;2;?;1;?;?;2;?;1;?;1;1;?;0
187;?;?;?;1;1;?;?;?;?;0;1;?;0;0
?;?;?;3;4;?;1;?;117;?;?;?;0;1;0
?;64;1;?;?;?;?;?;38;?;?;0;?;?;0
80;?;?;8;8;35;?;2;137;77;?;?;?;?;1
?;139;2;?;?;?;2;?;20;?;1;?;?;0;0
?;11;2;8;5;?;?;2;?;?;?;?;1;0;1
?;?;1;8;4;58;1;2;1;3;?;0;?;?;0
?;73;?;?;?;?;12;?;?;?;1;1;?;?;1
?;?;?;?;4;4;1;2;?;2;1;?;?;0;0
196;?;?;?;?;14;?;?;?;?;1;0;?;?;0
320;?;?;?;?;126;18;?;1;1;?;?;?;?;1
265;?;2;11;?;102;4;2;?;?;0;1;?;?;1
267;?;?;8;?;?;?;2;?;1;0;1;?;?;1
?;52;?;9;?;7;?;2;54;1;1;?;0;1;0
?;96;2;4;8;26;1;?;?;?;?;0;?;1;0
154;69;1;7;4;4;1;1;?;1;1;?;0;1;0
?;?;2;11;?;5;?;?;77;88;?;?;?;1;0
37;126;2;7;?;2;2;2;32;?;?;?;?;0;0
247;33;2;?;5;?;1;?;1;94;0;1;?;?;1
?;?;2;9;?;24;1;?;53;1;0;0;0;?;0
?;28;?;14;4;?;?;2;?;203;?;1;1;1;1
?;?;2;14;?;26;12;?;1;?;0;1;?;0;1
181;?;?;13;4;73;?;2;69;63;0;?;0;?;0
?;123;?;6;8;?;?;2;1;?;?;0;0;0;0
?;37;?;?;4;?;?;?;?;1;?;?;1;0;0
242;46;?;?;?;?;?;?;?;?;1;?;0;0;0
?;?;1;13;8;4;?;2;86;2;1;?;0;0;0
317;180;2;4;?;108;?;2;6;182;1;1;0;1;1
?;74;1;14;?;?;?;2;20;1;?;?;?;0;1
?;87;2;?;?;?;1;?;117;1;?;?;?;?;1
?;?;?;8;?;7;?;?;?;?;1;0;0;0;0
190;?;?;?;?;?;13;2;1;80;?;?;?;1;1
263;213;?;11;8;6;?;?;?;47;?;?;1;0;0
?;?;2;4;4;?;1;?;?;?;?;1;?;1;1
217;?;2;9;4;?;?;2;?;219;1;1;0;?;1
?;?;1;14;8;?;?;2;?;2;1;0;?;?;0
?;68;2;?;4;?;?;2;1;116;?;0;0;1;0
?;?;2;?;4;101;?;2;?;?;1;1;1;?;1
206;?;2;1;1;1;?;2;?;150;1;0;?;0;0
?;?;2;8;?;?;12;?;69;200;?;1;1;1;1
?;?;2;9;?;93;1;2;?;66;?;0;0;0;0
?;131;1;?;5;?;1;2;?;1;?;?;0;1;0
?;?;?;8;?;58;1;1;11;1;1;1;0;0;1
198;?;?;?;?;1;1;2;?;?;1;1;0;?;1
?;30;2;?;?;?;?;2;90;179;?;?;?;?;0
216;119;?;7;?;?;?;2;28;1;1;1;?;?;1
50;145;2;?;?;?;1;2;?;?;?;0;?;?;0
213;?;?;11;8;113;?;?;?;?;?;1;?;1;1
?;?;?;14;?;2;10;2;?;?;1;?;1;?;1
?;187;2;?;?;85;?;2;1;?;?;1;1;0;1
?;16;2;?;8;11;?;2;141;?;0;?;1;?;1
304;?;1;1;1;1;1;?;?;1;0;?;?;?;0
?;?;1;3;8;115;1;?;?;1;?;0;0;1;0
231;?;?;?;4;37;11;?;66;?;?;1;1;0;1
124;?;2;?;?;7;?;2;?;?;?;0;0;?;0
?;144;?;?;?;?;1;2;?;?;1;1;0;?;1
?;92;2;?;?;99;17;?;37;?;1;1;?;?;1
?;?;1;?;?;16;1;2;?;?;?;?;0;0;0
109;?;2;?;5;?;?;?;?;?;?;1;0;?;1
234;?;1;?;4;?;1;1;131;1;?;0;0;?;0
?;?;?;8;8;6;7;2;77;?;?;1;?;0;1
?;?;2;?;?;?;2;?;24;?;1;?;?;0;1
43;40;2;8;?;?;?;2;?;1;?;?;?;?;0
?;73;?;?;4;64;?;?;?;11;?;?;?;?;0
59;?;?;?;4;18;?;2;53;1;1;?;?;?;0
?;?;2;14;4;?;?;?;?;8;1;?;1;?;1
117;61;2;?;?;14;1;2;162;206;1;?;?;?;0
27;141;2;11;4;?;5;2;?;118;?;?;?;?;1
79;114;2;11;?;70;?;?;38;85;?;?;?;?;1
?;53;?;?;?;?;1;2;?;2;?;?;?;1;0
?;102;?;9;?;117;1;2;?;?;1;1;0;?;1
103;?;?;?;4;76;?;2;67;1;1;1;?;0;0
134;?;2;?;4;?;?;?;141;?;0;?;0;1;0
?;77;1;?;?;?;1;2;53;152;?;?;?;0;0
?;?;1;1;?;14;?;?;63;65;?;?;1;0;0
?;?;2;?;4;?;1;2;?;?;?;0;?;1;0
?;52;?;10;8;?;1;?;?;?;?;1;?;1;1
?;85;?;?;?;?;1;2;?;?;?;0;?;?;0
?;82;2;?;?;23;1;?;?;1;?;1;0;0;1
100;18;?;9;4;?;?;?;?;110;?;0;1;0;0
?;?;?;1;1;11;1;?;24;?;1;?;0;0;0
60;38;1;4;4;?;2;?;63;21;?;1;?;0;0
?;40;?;8;4;?;1;2;35;1;?;?;0;?;0
10;?;?;?;?;?;1;2;38;1;1;0;0;?;0
?;55;2;2;?;20;1;?;24;?;1;0;0;1;0
?;82;2;?;?;73;1;1;?;?;?;1;0;?;1
?;70;2;?;1;?;?;2;53;25;1;0;?;?;0
?;?;1;?;?;?;21;?;?;?;?;?;?;?;1
200;?;?;14;8;40;?;?;?;115;?;1;?;1;1
?;?;2;?;?;49;?;1;24;1;1;0;?;0;0
?;102;2;11;?;10;?;?;1;?;1;1;?;?;0
?;17;?;2;?;3;1;1;88;?;1;?;0;1;0
41;?;?;?;4;?;?;?;45;?;0;?;?;?;0
109;?;2;?;?;?;?;?;32;1;1;?;0;0;0
?;?;?;8;4;?;?;?;?;81;?;?;0;?;0
135;?;?;?;8;94;7;2;125;?;1;1;?;?;1
?;33;?;?;4;?;?;2;98;1;1;1;?;?;1
?;?;?;4;4;?;?;?;?;?;1;0;1;1;0
111;185;?;?;2;1;1;2;?;?;1;0;0;1;0
?;?;2;?;?;61;?;2;1;92;1;?;1;?;1
163;13;?;?;?;?;1;?;?;?;1;1;0;1;0
?;180;?;?;4;26;?;2;63;?;?;0;0;1;0
181;77;?;?;?;?;4;2;?;?;?;?;?;1;1
?;49;?;?;?;37;1;?;?;96;1;?;0;0;0
19;?;1;?;1;1;?;2;25;?;?;?;?;?;0
85;?;?;?;4;5;?;?;?;?;?;?;?;0;1
114;69;?;?;?;?;?;2;74;?;1;?;?;0;1
70;?;2;?;4;?;1;?;47;?;?;?;0;?;0
?;18;1;6;4;?;4;2;?;150;?;1;?;?;1
?;138;?;?;?;?;1;2;?;66;0;?;?;0;1
42;1;2;?;4;14;?;2;?;1;1;0;?;0;0
?;87;?;3;4;3;?;2;?;1;1;?;0;1;0
115;95;1;?;5;?;1;2;?;?;?;0;?;0;0
94;40;2;1;1;?;1;?;24;?;?;1;0;0;0
172;?;?;?;?;7;?;?;?;?;0;?;?;1;0
19;94;?;8;?;7;?;?;24;1;?;?;?;?;0
?;109;2;?;4;4;?;2;?;?;?;?;0;?;1
72;?;?;8;?;?;?;2;?;1;1;?;?;0;1
21;?;2;?;?;1;1;2;1;36;0;0;?;0;0
89;179;2;?;8;?;1;?;?;1;?;1;0;?;1
?;?;2;?;8;24;?;2;151;1;0;?;?;?;1
?;180;?;?;8;?;?;?;1;18;?;?;0;1;0
73;117;?;?;4;?;1;2;?;150;0;0;0;?;0
?;?;2;?;4;?;?;?;?;1;?;1;?;?;0
?;11;?;8;4;?;1;2;53;?;1;?;?;1;0
289;?;1;4;4;?;12;2;?;?;?;?;?;0;1
54;1;2;8;4;?;?;?;1;?;1;?;0;?;0
?;?;1;8;4;?;?;?;24;1;1;?;?;0;0
?;170;2;13;4;2;?;?;?;?;0;?;0;?;1
?;42;2;3;?;9;1;2;1;57;0;?;0;?;0
?;?;?;?;8;43;9;2;32;105;1;1;1;0;1
?;160;2;14;?;99;1;2;1;1;1;1;?;0;1
49;?;2;8;4;4;1;2;1;?;1;?;0;0;0
?;?;?;6;?;3;?;?;32;1;?;1;?;?;1
?;193;?;14;8;?;?;2;38;?;0;1;1;0;1
?;?;2;10;4;2;2;?;?;?;?;?;?;?;1
