FICE,State,Public/private_indicator,Average_Math_SAT_score,Average_Verbal_SAT_score,Average_Combined_SAT_score,Average_ACT_score,First_quartile-Math_SAT,Third_quartile-Math_SAT,First_quartile-Verbal_SAT,Third_quartile-Verbal_SAT,First_quartile-ACT,Third_quartile-ACT,Number_of_applications_received,Number_of_applicants_accepted,Number_of_new_students_enrolled,Pct._new_students_from_top_10Perc_of_H.S._class,Pct._new_students_from_top_25Perc_of_H.S._class,Number_of_fulltime_undergraduates,Number_of_parttime_undergraduates,In-state_tuition,Out-of-state_tuition,Room_and_board_costs,Room_costs,Board_costs,Additional_fees,Estimated_book_costs,Estimated_personal_spending,Pct._of_faculty_with_Ph.D.s,Pct._of_faculty_with_terminal_degree,Student/faculty_ratio,Pct.alumni_who_donate,Instructional_expenditure_per_student,binaryClass
1717,IL,2,?,?,?,21.0,?,?,?,?,18.0,23.0,740.0,558.0,177.0,12.0,29.0,628.0,63.0,9620.0,9620.0,3750.0,2050.0,1700.0,?,550.0,950.0,49.0,55.0,108.0,33.0,10642.0,1
29258,GA,2,515.0,490.0,1005.0,23.0,480.0,560.0,460.0,550.0,19.0,26.0,1109.0,688.0,386.0,20.0,65.0,1897.0,208.0,8325.0,8325.0,5000.0,3050.0,1950.0,450.0,1200.0,1600.0,14.0,98.0,161.0,26.0,6874.0,1
3208,OR,2,481.0,439.0,920.0,?,?,?,?,?,?,?,?,?,?,?,?,226.0,74.0,?,?,?,?,?,?,?,?,55.0,?,169.0,47.0,?,0
1473,FL,2,442.0,433.0,875.0,22.0,?,?,?,?,?,?,161.0,156.0,101.0,?,?,409.0,43.0,5200.0,5200.0,3400.0,3400.0,?,500.0,500.0,400.0,55.0,60.0,151.0,12.0,6724.0,0
10298,TX,1,?,?,?,?,?,?,?,?,?,?,529.0,481.0,243.0,22.0,47.0,1206.0,134.0,780.0,4860.0,3122.0,1560.0,1562.0,320.0,600.0,650.0,103.0,88.0,174.0,16.0,6415.0,1
2541,NE,2,?,?,?,?,?,?,?,?,?,?,440.0,434.0,252.0,22.0,50.0,764.0,38.0,7896.0,7896.0,3270.0,?,?,610.0,450.0,1200.0,54.0,60.0,111.0,?,7589.0,0
1074,AZ,2,485.0,441.0,926.0,22.0,420.0,550.0,380.0,500.0,19.0,24.0,497.0,393.0,169.0,?,?,1364.0,454.0,6870.0,6870.0,3100.0,?,?,370.0,400.0,1125.0,56.0,60.0,142.0,?,6219.0,0
2345,MN,2,530.0,464.0,994.0,23.0,470.0,590.0,400.0,530.0,20.0,26.0,2057.0,1807.0,828.0,26.0,53.0,4106.0,982.0,11712.0,11712.0,4037.0,1716.0,2321.0,36.0,500.0,800.0,80.0,80.0,138.0,13.0,8546.0,0
2690,NY,1,486.0,421.0,907.0,?,420.0,550.0,360.0,480.0,?,?,4681.0,3627.0,1749.0,12.0,37.0,8837.0,5624.0,2650.0,5250.0,?,?,?,200.0,500.0,2100.0,100.0,100.0,125.0,11.0,7488.0,1
3127,OH,2,578.0,504.0,1082.0,25.0,490.0,610.0,500.0,560.0,22.0,28.0,6361.0,5293.0,1507.0,26.0,51.0,5889.0,665.0,11380.0,11380.0,4220.0,2160.0,2060.0,450.0,500.0,900.0,81.0,85.0,148.0,25.0,8894.0,0
3465,SD,2,?,?,?,20.0,?,?,?,?,?,?,279.0,276.0,126.0,17.0,37.0,600.0,435.0,6844.0,6844.0,2980.0,?,?,636.0,500.0,500.0,45.0,55.0,117.0,38.0,5073.0,1
10395,CA,2,548.0,490.0,1038.0,?,500.0,600.0,450.0,520.0,?,?,3934.0,2735.0,886.0,40.0,70.0,3698.0,217.0,13600.0,13600.0,5940.0,?,?,100.0,630.0,1820.0,93.0,96.0,156.0,13.0,10813.0,0
3391,PA,2,?,?,?,?,?,?,?,?,?,?,1190.0,978.0,324.0,12.0,30.0,1280.0,61.0,8840.0,8840.0,3620.0,1800.0,1820.0,220.0,500.0,1200.0,57.0,58.0,162.0,26.0,6563.0,0
2992,ND,2,?,?,?,21.0,?,?,?,?,18.0,24.0,659.0,601.0,342.0,12.0,34.0,1476.0,282.0,6490.0,6490.0,2660.0,1345.0,1510.0,75.0,500.0,1800.0,26.0,36.0,180.0,?,4460.0,1
6951,SC,1,459.0,411.0,870.0,19.0,400.0,510.0,360.0,450.0,17.0,21.0,885.0,553.0,381.0,13.0,38.0,2207.0,1058.0,2295.0,5739.0,?,?,?,?,312.0,?,70.0,70.0,159.0,13.0,5307.0,1
2423,MS,1,?,?,?,23.0,?,?,?,?,19.0,27.0,4255.0,3277.0,1609.0,18.0,57.0,10094.0,1621.0,4946.0,9866.0,3084.0,1684.0,1400.0,477.0,480.0,1479.0,77.0,77.0,159.0,20.0,6223.0,1
1834,IN,2,?,?,?,?,310.0,410.0,280.0,440.0,17.0,17.0,225.0,203.0,176.0,13.0,24.0,470.0,627.0,3960.0,3960.0,?,?,?,25.0,?,?,37.0,60.0,106.0,?,4119.0,0
3775,WA,1,400.0,350.0,750.0,17.0,390.0,520.0,350.0,470.0,17.0,23.0,2231.0,1908.0,767.0,?,?,6561.0,559.0,2256.0,7974.0,3914.0,2220.0,1694.0,120.0,687.0,1437.0,69.0,80.0,170.0,4.0,7451.0,1
9265,ND,1,?,?,1040.0,23.0,?,?,?,?,18.0,25.0,2968.0,2297.0,1610.0,13.0,47.0,7368.0,1128.0,2310.0,5834.0,2744.0,1020.0,1724.0,198.0,600.0,2000.0,79.0,83.0,170.0,24.0,6310.0,1
3892,WI,2,614.0,553.0,1167.0,24.0,560.0,665.0,460.0,615.0,21.0,27.0,1334.0,1243.0,568.0,30.0,56.0,1946.0,95.0,12140.0,12140.0,4450.0,2355.0,2095.0,75.0,425.0,1100.0,74.0,78.0,151.0,36.0,8595.0,0
2377,MN,1,?,?,?,?,?,?,?,?,18.0,23.0,3971.0,3306.0,1921.0,10.0,34.0,11493.0,2206.0,2270.0,4259.0,2625.0,1704.0,921.0,255.0,350.0,1884.0,70.0,75.0,189.0,10.0,4629.0,1
2500,MO,2,?,?,?,21.0,?,?,?,?,19.0,22.0,3258.0,338.0,326.0,9.0,40.0,1277.0,195.0,?,?,1900.0,?,?,120.0,600.0,500.0,53.0,59.0,143.0,21.0,9192.0,0
3571,TX,2,510.0,470.0,980.0,22.0,420.0,560.0,370.0,500.0,18.0,25.0,467.0,424.0,350.0,16.0,40.0,1365.0,334.0,6300.0,6300.0,2980.0,1360.0,1620.0,480.0,700.0,2140.0,75.0,79.0,137.0,10.0,7054.0,1
3451,SC,1,?,?,?,?,400.0,510.0,350.0,450.0,18.0,21.0,1854.0,1391.0,732.0,9.0,28.0,3020.0,1174.0,2710.0,7000.0,4090.0,2640.0,1450.0,?,600.0,?,74.0,74.0,170.0,7.0,5201.0,1
2247,MI,2,500.0,485.0,985.0,20.0,400.0,560.0,400.0,540.0,18.0,24.0,180.0,171.0,74.0,19.0,39.0,562.0,18.0,10430.0,10430.0,2960.0,?,?,?,400.0,500.0,55.0,55.0,116.0,6.0,?,0
8155,WA,1,521.0,521.0,1042.0,?,460.0,580.0,460.0,590.0,?,?,1801.0,1101.0,438.0,14.0,50.0,3065.0,363.0,1785.0,6297.0,4600.0,?,?,60.0,600.0,1323.0,75.0,78.0,181.0,14.0,8355.0,0
2806,NY,2,580.0,495.0,1075.0,26.0,520.0,640.0,440.0,550.0,22.0,28.0,4704.0,3798.0,1381.0,30.0,59.0,7176.0,2578.0,13968.0,13968.0,5670.0,2604.0,3066.0,261.0,500.0,875.0,?,78.0,108.0,7.0,13508.0,0
1505,FL,2,450.0,440.0,890.0,21.0,360.0,480.0,330.0,440.0,?,?,1292.0,956.0,315.0,?,?,1250.0,200.0,13900.0,13900.0,5600.0,2450.0,3150.0,300.0,400.0,1100.0,69.0,69.0,190.0,8.0,12614.0,0
3778,WA,2,539.0,492.0,1031.0,25.0,500.0,599.0,450.0,550.0,23.0,27.0,1886.0,1524.0,526.0,31.0,67.0,2523.0,296.0,13000.0,13000.0,4450.0,4450.0,?,100.0,600.0,2400.0,78.0,90.0,147.0,32.0,9553.0,0
3925,WI,1,?,?,?,21.0,?,?,?,?,19.0,23.0,910.0,910.0,342.0,14.0,53.0,1434.0,417.0,2050.0,7032.0,2780.0,1408.0,1372.0,?,550.0,1960.0,75.0,81.0,152.0,15.0,6490.0,1
2838,NY,1,542.0,464.0,1006.0,?,480.0,595.0,410.0,510.0,?,?,12512.0,6969.0,1724.0,27.0,66.0,9744.0,1351.0,2650.0,6550.0,4712.0,4712.0,?,295.0,600.0,1200.0,91.0,96.0,105.0,7.0,13705.0,1
3235,PA,2,505.0,460.0,965.0,?,430.0,540.0,390.0,510.0,?,?,1163.0,850.0,348.0,23.0,56.0,878.0,519.0,12850.0,12850.0,5400.0,5400.0,?,260.0,400.0,800.0,78.0,89.0,122.0,30.0,8954.0,0
1741,IL,2,?,?,?,?,?,?,?,?,?,?,678.0,640.0,388.0,?,58.0,1503.0,293.0,7700.0,7700.0,4140.0,4140.0,?,136.0,?,?,39.0,39.0,146.0,?,?,1
2206,MA,2,452.0,429.0,881.0,?,?,?,?,?,?,?,427.0,385.0,143.0,18.0,38.0,581.0,533.0,12700.0,12700.0,5800.0,5800.0,?,275.0,450.0,700.0,81.0,85.0,103.0,37.0,11758.0,0
1371,CO,2,540.0,470.0,1010.0,24.0,470.0,590.0,430.0,540.0,21.0,27.0,2974.0,2001.0,580.0,29.0,60.0,2666.0,554.0,15192.0,15192.0,4695.0,4695.0,?,330.0,400.0,1350.0,84.0,91.0,159.0,21.0,11762.0,0
3216,OR,1,484.0,416.0,900.0,22.0,410.0,550.0,350.0,480.0,19.0,23.0,1623.0,1574.0,837.0,?,?,6194.0,4992.0,?,?,4365.0,2565.0,1800.0,?,750.0,1098.0,78.0,78.0,200.0,18.0,6618.0,1
1434,DC,2,583.0,550.0,1133.0,?,530.0,625.0,500.0,610.0,?,?,4613.0,3587.0,1048.0,35.0,77.0,4545.0,873.0,15934.0,15934.0,6400.0,2440.0,3960.0,210.0,450.0,800.0,?,93.0,136.0,9.0,11803.0,0
1809,IN,1,530.0,466.0,996.0,24.0,?,?,?,?,?,?,16587.0,13243.0,5873.0,25.0,72.0,24763.0,2717.0,2984.0,9766.0,3990.0,?,?,389.0,600.0,2000.0,77.0,88.0,213.0,24.0,8686.0,0
2114,MA,2,?,?,?,?,380.0,510.0,370.0,490.0,?,?,1420.0,1093.0,220.0,9.0,22.0,1018.0,287.0,8700.0,8700.0,4780.0,4780.0,?,480.0,450.0,1400.0,78.0,84.0,147.0,19.0,7355.0,0
2115,MA,2,685.0,639.0,1324.0,25.0,640.0,740.0,600.0,690.0,28.0,32.0,4302.0,992.0,418.0,83.0,96.0,1593.0,5.0,19760.0,19760.0,5300.0,2650.0,2650.0,272.0,660.0,1598.0,93.0,98.0,84.0,63.0,21424.0,0
1798,IN,2,532.0,481.0,1013.0,22.0,480.0,630.0,430.0,580.0,?,?,804.0,632.0,281.0,29.0,72.0,840.0,68.0,10390.0,10390.0,4040.0,1790.0,2250.0,110.0,525.0,1345.0,54.0,78.0,125.0,37.0,11751.0,1
2002,KY,1,?,?,?,?,?,?,?,?,18.0,23.0,4441.0,3260.0,2082.0,?,?,10264.0,2910.0,1801.0,4961.0,3149.0,1316.0,1833.0,221.0,500.0,1100.0,66.0,70.0,191.0,10.0,5063.0,1
2239,MI,2,?,?,?,?,?,?,?,?,18.0,25.0,619.0,516.0,219.0,20.0,51.0,1251.0,767.0,11208.0,11208.0,4124.0,4124.0,?,?,350.0,1615.0,55.0,65.0,127.0,25.0,6584.0,0
3324,PA,1,?,?,?,?,?,?,?,?,?,?,2694.0,1725.0,606.0,?,?,2891.0,332.0,3154.0,7452.0,3364.0,1984.0,1380.0,486.0,650.0,800.0,48.0,?,159.0,?,8116.0,1
2835,NY,1,580.0,506.0,1086.0,?,520.0,620.0,450.0,550.0,?,?,13528.0,9198.0,1843.0,16.0,61.0,10168.0,1231.0,2650.0,6550.0,4355.0,2950.0,1405.0,295.0,700.0,1560.0,93.0,96.0,174.0,16.0,9075.0,0
3753,VA,1,541.0,484.0,1025.0,22.0,500.0,600.0,430.0,540.0,20.0,24.0,904.0,683.0,349.0,16.0,34.0,1191.0,?,2980.0,9020.0,3800.0,?,?,1420.0,600.0,1000.0,84.0,84.0,111.0,51.0,10709.0,0
1739,IL,2,670.0,600.0,1270.0,29.0,610.0,720.0,540.0,640.0,27.0,31.0,12289.0,5200.0,1902.0,85.0,98.0,7450.0,45.0,16404.0,16404.0,5520.0,?,?,?,759.0,1585.0,96.0,100.0,68.0,25.0,26385.0,0
1057,AL,1,?,?,?,23.0,?,?,?,?,19.0,24.0,2328.0,2110.0,1047.0,?,?,7516.0,2943.0,2208.0,3108.0,2850.0,1530.0,1320.0,183.0,480.0,1470.0,80.0,80.0,133.0,?,8667.0,1
2587,NH,2,512.0,481.0,993.0,?,440.0,560.0,430.0,530.0,?,?,2095.0,1553.0,514.0,15.0,40.0,1873.0,94.0,12950.0,12950.0,5400.0,5400.0,?,300.0,450.0,1120.0,70.0,82.0,145.0,29.0,6719.0,0
9930,TX,1,438.0,401.0,839.0,19.0,?,?,?,?,?,?,116.0,90.0,59.0,14.0,46.0,841.0,704.0,840.0,5130.0,?,3995.0,?,718.0,600.0,2923.0,84.0,87.0,155.0,7.0,5482.0,0
3243,PA,2,490.0,470.0,960.0,21.0,420.0,550.0,420.0,520.0,19.0,25.0,776.0,607.0,198.0,25.0,58.0,791.0,764.0,14340.0,14340.0,5285.0,?,?,?,500.0,1000.0,58.0,83.0,117.0,39.0,10961.0,0
3376,PA,2,444.0,418.0,862.0,20.0,?,?,?,?,?,?,1154.0,951.0,253.0,15.0,31.0,791.0,140.0,11172.0,11172.0,4958.0,2590.0,2368.0,230.0,700.0,1350.0,68.0,76.0,116.0,16.0,9186.0,1
2955,NC,2,441.0,390.0,831.0,?,370.0,500.0,330.0,440.0,?,?,838.0,651.0,159.0,11.0,25.0,654.0,162.0,8640.0,8640.0,3700.0,?,?,?,400.0,1915.0,62.0,62.0,122.0,13.0,7634.0,1
3357,PA,2,424.0,418.0,842.0,21.0,360.0,490.0,370.0,480.0,16.0,23.0,875.0,744.0,207.0,7.0,38.0,1173.0,1402.0,9700.0,9700.0,4830.0,4830.0,?,350.0,400.0,1200.0,45.0,90.0,145.0,10.0,7652.0,0
1437,DC,2,?,?,?,?,490.0,610.0,460.0,570.0,22.0,28.0,1754.0,1465.0,505.0,24.0,49.0,2159.0,211.0,13712.0,13712.0,6408.0,3622.0,2786.0,460.0,526.0,1100.0,90.0,96.0,93.0,18.0,12751.0,0
3384,PA,2,561.0,509.0,1070.0,?,510.0,610.0,450.0,550.0,?,?,4471.0,2942.0,910.0,29.0,60.0,3674.0,493.0,11584.0,11584.0,5986.0,2536.0,3450.0,975.0,650.0,800.0,83.0,83.0,141.0,41.0,9131.0,0
3210,OR,1,522.0,443.0,965.0,22.0,445.0,585.0,382.0,502.0,18.0,26.0,4675.0,3948.0,1637.0,?,?,10332.0,929.0,2841.0,7890.0,3444.0,1388.0,2056.0,50.0,543.0,2244.0,88.0,88.0,139.0,?,9383.0,1
3767,VA,2,?,?,?,?,460.0,580.0,420.0,530.0,?,?,1470.0,900.0,287.0,20.0,49.0,1130.0,417.0,10900.0,10900.0,5100.0,2800.0,2300.0,150.0,500.0,550.0,70.0,81.0,157.0,14.0,7804.0,0
3287,PA,2,540.0,507.0,1050.0,?,480.0,570.0,450.0,530.0,?,?,2929.0,1834.0,622.0,20.0,56.0,2738.0,1662.0,12600.0,12600.0,5610.0,2510.0,3100.0,170.0,450.0,3160.0,90.0,90.0,151.0,9.0,9084.0,0
3484,GA,2,536.0,512.0,1048.0,24.0,470.0,610.0,440.0,580.0,22.0,28.0,407.0,317.0,181.0,21.0,48.0,468.0,31.0,9700.0,9700.0,3744.0,1980.0,1764.0,150.0,470.0,1120.0,73.0,75.0,190.0,?,8614.0,1
2981,NC,1,457.0,410.0,867.0,?,400.0,510.0,360.0,450.0,?,?,3224.0,2519.0,1057.0,11.0,31.0,5000.0,706.0,718.0,6390.0,2380.0,1142.0,1238.0,647.0,110.0,1622.0,67.0,78.0,146.0,9.0,6554.0,1
2118,MA,2,?,?,?,?,430.0,530.0,400.0,500.0,?,?,2135.0,1700.0,491.0,23.0,59.0,1708.0,689.0,12000.0,12000.0,5920.0,?,?,125.0,500.0,500.0,93.0,93.0,138.0,30.0,7100.0,0
2960,NC,2,508.0,494.0,1002.0,24.0,450.0,570.0,430.0,550.0,?,?,335.0,284.0,132.0,28.0,69.0,534.0,216.0,10475.0,10475.0,6300.0,3275.0,3025.0,176.0,500.0,2000.0,68.0,68.0,112.0,46.0,9599.0,1
3270,PA,2,500.0,470.0,970.0,?,430.0,540.0,400.0,520.0,?,?,380.0,237.0,104.0,30.0,56.0,716.0,1108.0,11000.0,11000.0,5550.0,5550.0,?,?,500.0,500.0,36.0,41.0,78.0,22.0,7483.0,0
1416,CT,2,489.0,422.0,911.0,?,370.0,520.0,350.0,480.0,?,?,598.0,441.0,153.0,16.0,36.0,527.0,312.0,12500.0,12500.0,6810.0,3700.0,3110.0,624.0,500.0,500.0,76.0,82.0,79.0,?,?,1
2687,NY,1,490.0,426.0,916.0,?,420.0,560.0,350.0,490.0,?,?,3589.0,2992.0,1367.0,15.0,40.0,7767.0,3827.0,2450.0,5050.0,?,?,?,155.0,500.0,700.0,83.0,100.0,156.0,?,7581.0,1
3325,PA,1,536.0,479.0,1014.0,?,490.0,580.0,430.0,520.0,?,?,6011.0,3075.0,960.0,22.0,60.0,5146.0,1532.0,3086.0,7844.0,3830.0,2200.0,1630.0,834.0,450.0,1258.0,72.0,74.0,168.0,20.0,7832.0,0
1426,CT,2,?,?,?,?,650.0,750.0,600.0,710.0,?,?,10705.0,2453.0,1317.0,95.0,99.0,5217.0,83.0,19840.0,19840.0,6510.0,3040.0,3470.0,?,630.0,2115.0,96.0,96.0,58.0,49.0,40386.0,0
2327,MI,1,?,?,?,?,?,?,?,?,19.0,24.0,970.0,877.0,551.0,23.0,55.0,3105.0,2944.0,2916.0,9534.0,?,?,?,80.0,500.0,1000.0,70.0,74.0,177.0,2.0,5955.0,0
20648,TX,2,516.0,493.0,1009.0,?,470.0,600.0,430.0,540.0,?,?,397.0,244.0,223.0,32.0,61.0,1083.0,58.0,2700.0,2700.0,2900.0,900.0,2000.0,250.0,500.0,1150.0,34.0,34.0,172.0,?,9434.0,0
2139,MA,2,?,?,?,?,500.0,630.0,440.0,560.0,?,?,2887.0,2059.0,457.0,30.0,61.0,1928.0,296.0,17500.0,17500.0,4200.0,2000.0,2200.0,440.0,500.0,950.0,94.0,95.0,105.0,35.0,11951.0,0
2936,NC,2,?,?,?,?,310.0,400.0,290.0,370.0,?,?,1349.0,932.0,407.0,6.0,14.0,1236.0,47.0,5453.0,5453.0,2191.0,1135.0,1056.0,685.0,500.0,?,61.0,?,142.0,?,?,1
3557,TX,2,469.0,402.0,871.0,20.0,390.0,530.0,330.0,470.0,18.0,23.0,232.0,216.0,106.0,16.0,34.0,534.0,172.0,6900.0,6900.0,3800.0,3800.0,?,480.0,450.0,1825.0,67.0,76.0,121.0,9.0,6875.0,1
1153,CA,1,444.0,365.0,809.0,19.0,?,?,?,?,?,?,7672.0,5331.0,2157.0,?,33.0,15567.0,7544.0,1440.0,5904.0,5500.0,?,?,1520.0,576.0,1464.0,?,83.0,203.0,?,6691.0,1
2241,MI,2,567.0,505.0,1072.0,25.0,490.0,660.0,440.0,590.0,22.0,28.0,1784.0,1512.0,913.0,29.0,56.0,3401.0,136.0,10230.0,10230.0,3710.0,1570.0,2140.0,?,400.0,1210.0,75.0,81.0,148.0,41.0,7786.0,0
1633,IL,2,?,?,?,25.0,?,?,?,?,23.0,28.0,1879.0,1658.0,497.0,36.0,69.0,1950.0,38.0,13353.0,13353.0,4173.0,1622.0,1622.0,93.0,540.0,821.0,78.0,83.0,127.0,40.0,9220.0,0
29099,MA,2,470.0,380.0,850.0,?,400.0,540.0,390.0,430.0,?,?,1480.0,1257.0,452.0,6.0,25.0,2961.0,572.0,9850.0,9850.0,6050.0,6050.0,?,?,850.0,920.0,10.0,68.0,154.0,8.0,17858.0,0
3252,PA,2,474.0,439.0,913.0,?,420.0,530.0,390.0,480.0,?,?,1383.0,1199.0,435.0,15.0,39.0,1380.0,846.0,11645.0,11645.0,4530.0,2430.0,2100.0,?,500.0,?,?,54.0,193.0,26.0,6970.0,0
2609,NJ,1,520.0,468.0,988.0,?,430.0,570.0,400.0,500.0,19.0,25.0,3820.0,1431.0,695.0,21.0,70.0,5303.0,3942.0,2342.0,4356.0,4830.0,?,?,753.0,800.0,800.0,76.0,81.0,221.0,6.0,7252.0,1
2360,MN,1,?,?,?,?,?,?,?,?,17.0,24.0,3073.0,2672.0,1547.0,9.0,29.0,9649.0,1792.0,2600.0,4300.0,2643.0,2643.0,?,300.0,450.0,1660.0,57.0,68.0,190.0,11.0,5801.0,0
1805,IN,2,491.0,446.0,937.0,22.0,410.0,580.0,340.0,470.0,17.0,27.0,1052.0,810.0,167.0,7.0,47.0,477.0,602.0,8120.0,8120.0,3790.0,3790.0,?,?,?,?,40.0,60.0,154.0,15.0,6111.0,0
3744,VA,2,?,?,?,?,590.0,690.0,520.0,620.0,26.0,30.0,5892.0,2718.0,756.0,46.0,72.0,2854.0,594.0,14500.0,14500.0,3285.0,1880.0,1405.0,?,700.0,1125.0,75.0,89.0,117.0,32.0,11984.0,0
1776,IL,1,?,?,?,21.0,?,?,?,?,18.0,23.0,8384.0,5727.0,2710.0,22.0,50.0,13518.0,2916.0,2520.0,7230.0,5088.0,3198.0,1890.0,1108.0,630.0,3228.0,82.0,84.0,100.0,6.0,13883.0,1
1759,IL,1,?,?,?,21.0,?,?,?,?,18.0,23.0,2540.0,2195.0,994.0,13.0,40.0,6063.0,2550.0,1824.0,5472.0,3598.0,1570.0,2028.0,488.0,221.0,2216.0,76.0,81.0,165.0,8.0,7498.0,1
3696,VT,1,553.0,488.0,1041.0,?,500.0,610.0,440.0,540.0,?,?,7663.0,6008.0,1735.0,18.0,51.0,7353.0,1674.0,6210.0,15516.0,4928.0,3148.0,1780.0,442.0,500.0,990.0,87.0,90.0,99.0,10.0,12646.0,0
1787,IN,2,490.0,453.0,943.0,22.0,410.0,570.0,380.0,500.0,18.0,25.0,495.0,415.0,267.0,15.0,37.0,733.0,402.0,9300.0,9300.0,3000.0,1300.0,1700.0,?,500.0,?,51.0,54.0,146.0,38.0,6392.0,0
1125,CA,2,441.0,395.0,836.0,19.0,?,?,?,?,?,?,308.0,262.0,157.0,?,44.0,592.0,113.0,6370.0,6370.0,3894.0,1800.0,2094.0,370.0,?,?,56.0,63.0,130.0,?,8554.0,1
3522,TN,1,?,?,?,?,?,?,?,?,18.0,22.0,6626.0,4122.0,721.0,24.0,31.0,4566.0,1913.0,1470.0,4836.0,2290.0,986.0,1304.0,70.0,?,?,72.0,73.0,186.0,?,7527.0,1
1293,CA,2,466.0,443.0,909.0,21.0,360.0,540.0,350.0,480.0,19.0,26.0,385.0,340.0,193.0,18.0,38.0,784.0,127.0,9520.0,9520.0,4124.0,1980.0,2144.0,340.0,630.0,1818.0,63.0,65.0,186.0,11.0,8219.0,1
2101,MD,1,633.0,538.0,1171.0,?,610.0,710.0,520.0,610.0,?,?,11522.0,1463.0,1181.0,50.0,85.0,4125.0,?,?,?,?,?,?,?,?,?,54.0,54.0,68.0,?,40020.0,0
1847,IA,2,526.0,493.0,1019.0,24.0,490.0,510.0,480.0,500.0,22.0,26.0,860.0,688.0,285.0,32.0,70.0,1928.0,442.0,13306.0,13306.0,3797.0,1997.0,1800.0,?,450.0,950.0,62.0,69.0,88.0,10.0,6333.0,0
1948,KS,1,?,?,?,23.0,?,?,?,?,20.0,26.0,8579.0,5561.0,3681.0,25.0,50.0,17880.0,1673.0,1650.0,6994.0,3384.0,?,?,388.0,700.0,2681.0,88.0,94.0,137.0,17.0,9657.0,1
1786,IN,1,473.0,422.0,895.0,21.0,400.0,530.0,360.0,470.0,18.0,24.0,9361.0,7910.0,3849.0,38.0,50.0,16148.0,2207.0,2864.0,7244.0,3608.0,3608.0,?,?,500.0,1500.0,69.0,?,177.0,25.0,7449.0,1
3839,WI,2,520.0,460.0,980.0,22.0,430.0,600.0,390.0,540.0,19.0,25.0,1616.0,1427.0,434.0,20.0,43.0,1405.0,580.0,13125.0,13125.0,3775.0,?,?,?,500.0,1300.0,74.0,89.0,159.0,22.0,7364.0,0
1536,FL,2,?,?,?,?,490.0,640.0,430.0,560.0,21.0,27.0,7122.0,5386.0,1643.0,42.0,69.0,7760.0,876.0,16500.0,16500.0,6526.0,3810.0,2716.0,180.0,630.0,1985.0,82.0,94.0,59.0,17.0,17500.0,1
3432,SC,2,532.0,482.0,1014.0,?,470.0,590.0,410.0,550.0,?,?,659.0,557.0,167.0,47.0,74.0,532.0,35.0,10485.0,10485.0,3840.0,1760.0,2080.0,660.0,475.0,1246.0,76.0,80.0,135.0,47.0,7527.0,0
2978,NC,2,?,?,?,?,600.0,700.0,550.0,650.0,?,?,5661.0,2392.0,903.0,75.0,88.0,3499.0,172.0,13850.0,13850.0,4360.0,4360.0,?,?,500.0,1250.0,95.0,97.0,43.0,37.0,41766.0,0
3813,WV,1,?,?,?,19.0,?,?,?,?,?,?,1246.0,1246.0,553.0,8.0,22.0,1595.0,669.0,1782.0,4080.0,3264.0,1488.0,1776.0,?,600.0,2000.0,25.0,31.0,173.0,?,3689.0,0
1401,CT,2,?,?,?,?,?,?,?,?,?,?,345.0,297.0,92.0,13.0,26.0,570.0,1273.0,11300.0,11300.0,5400.0,5400.0,?,250.0,400.0,1000.0,30.0,37.0,122.0,2.0,9310.0,0
2065,MD,2,500.0,470.0,970.0,?,440.0,580.0,410.0,540.0,?,?,457.0,356.0,177.0,35.0,61.0,667.0,1983.0,11180.0,11180.0,5620.0,?,?,100.0,600.0,700.0,64.0,64.0,115.0,32.0,7477.0,0
3926,WI,1,?,?,?,21.0,?,?,?,?,19.0,23.0,4400.0,3719.0,1472.0,12.0,38.0,7804.0,1552.0,2300.0,6950.0,2500.0,2500.0,?,?,300.0,1200.0,90.0,95.0,231.0,16.0,5559.0,0
2975,NC,1,491.0,435.0,926.0,21.0,440.0,540.0,390.0,470.0,19.0,24.0,5803.0,4441.0,1730.0,19.0,62.0,10099.0,3255.0,764.0,7248.0,3109.0,?,?,693.0,600.0,1900.0,79.0,91.0,168.0,7.0,6227.0,0
2788,NY,2,?,?,?,?,430.0,525.0,400.0,500.0,19.0,24.0,2220.0,1796.0,467.0,65.0,99.0,1919.0,334.0,10320.0,10320.0,4762.0,?,?,420.0,450.0,650.0,68.0,100.0,142.0,20.0,7788.0,0
1147,CA,1,?,?,?,?,?,?,?,?,?,?,4540.0,3294.0,1483.0,5.0,60.0,13494.0,1254.0,1802.0,7706.0,4368.0,?,?,?,600.0,1926.0,90.0,90.0,212.0,8.0,7268.0,0
3131,OH,1,504.0,447.0,951.0,20.0,430.0,640.0,390.0,560.0,19.0,25.0,3055.0,2959.0,1527.0,?,?,15428.0,5370.0,2693.0,7441.0,3719.0,2564.0,1155.0,706.0,550.0,500.0,81.0,83.0,204.0,5.0,6124.0,1
2850,NY,1,540.0,500.0,1040.0,23.0,460.0,560.0,410.0,500.0,20.0,24.0,3150.0,2289.0,650.0,16.0,51.0,3598.0,234.0,2650.0,6840.0,4660.0,2750.0,1910.0,240.0,500.0,1000.0,71.0,75.0,151.0,17.0,6436.0,1
2422,MS,1,?,?,?,23.0,370.0,530.0,380.0,490.0,19.0,26.0,480.0,405.0,380.0,19.0,46.0,1673.0,1014.0,2244.0,4386.0,2217.0,?,?,?,600.0,1500.0,49.0,54.0,158.0,8.0,5704.0,0
